,sensitivity,specificity,inv_frac,delay_samples,decay_part
0,0.0,1.0,0.0,0,900
1,0.0,1.0,0.5,0,900
2,0.0,1.0,1.0,0,900
3,0.0,1.0,1.5,0,900
4,0.0,1.0,2.0,0,900
5,0.0,1.0,2.5,0,900
6,0.0,1.0,3.0,0,900
7,0.0,1.0,3.5,0,900
8,0.0,1.0,4.0,0,900
9,0.0,1.0,4.5,0,900
10,0.0,1.0,5.0,0,900
11,0.0,1.0,5.5,0,900
12,0.0,1.0,6.0,0,900
13,0.0,1.0,6.5,0,900
14,0.0,1.0,7.0,0,900
15,0.0,1.0,7.5,0,900
16,0.0,1.0,0.0,25,900
17,0.996,0.002004008016032064,0.5,25,900
18,1.0,0.0,1.0,25,900
19,1.0,0.0,1.5,25,900
20,1.0,0.0,2.0,25,900
21,0.902,0.036072144288577156,2.5,25,900
22,0.602,0.2785571142284569,3.0,25,900
23,0.346,0.5490981963927856,3.5,25,900
24,0.234,0.7535070140280561,4.0,25,900
25,0.156,0.8496993987975952,4.5,25,900
26,0.088,0.9078156312625251,5.0,25,900
27,0.06,0.9398797595190381,5.5,25,900
28,0.04,0.9619238476953907,6.0,25,900
29,0.03,0.9799599198396793,6.5,25,900
30,0.02,0.9839679358717435,7.0,25,900
31,0.012,0.9919839679358717,7.5,25,900
32,0.0,1.0,0.0,50,900
33,1.0,0.0,0.5,50,900
34,1.0,0.0,1.0,50,900
35,1.0,0.0,1.5,50,900
36,1.0,0.0,2.0,50,900
37,1.0,0.01002004008016032,2.5,50,900
38,0.99,0.1462925851703407,3.0,50,900
39,0.936,0.42084168336673344,3.5,50,900
40,0.776,0.6533066132264529,4.0,50,900
41,0.578,0.7735470941883767,4.5,50,900
42,0.428,0.8617234468937875,5.0,50,900
43,0.322,0.9138276553106213,5.5,50,900
44,0.258,0.9418837675350702,6.0,50,900
45,0.19,0.9639278557114228,6.5,50,900
46,0.132,0.9779559118236473,7.0,50,900
47,0.086,0.9859719438877755,7.5,50,900
48,0.0,1.0,0.0,75,900
49,1.0,0.0,0.5,75,900
50,1.0,0.0,1.0,75,900
51,1.0,0.0,1.5,75,900
52,1.0,0.0,2.0,75,900
53,1.0,0.018036072144288578,2.5,75,900
54,0.996,0.17034068136272545,3.0,75,900
55,0.958,0.4088176352705411,3.5,75,900
56,0.92,0.625250501002004,4.0,75,900
57,0.86,0.7715430861723447,4.5,75,900
58,0.808,0.8557114228456913,5.0,75,900
59,0.73,0.9098196392785571,5.5,75,900
60,0.634,0.9539078156312625,6.0,75,900
61,0.538,0.9679358717434869,6.5,75,900
62,0.454,0.9799599198396793,7.0,75,900
63,0.392,0.9819639278557114,7.5,75,900
64,0.0,1.0,0.0,100,900
65,1.0,0.0,0.5,100,900
66,1.0,0.0,1.0,100,900
67,1.0,0.0,1.5,100,900
68,1.0,0.0,2.0,100,900
69,1.0,0.02004008016032064,2.5,100,900
70,1.0,0.156312625250501,3.0,100,900
71,1.0,0.37675350701402804,3.5,100,900
72,0.988,0.6072144288577155,4.0,100,900
73,0.966,0.751503006012024,4.5,100,900
74,0.936,0.8336673346693386,5.0,100,900
75,0.89,0.8837675350701403,5.5,100,900
76,0.846,0.9318637274549099,6.0,100,900
77,0.802,0.9599198396793587,6.5,100,900
78,0.75,0.9759519038076152,7.0,100,900
79,0.718,0.9879759519038076,7.5,100,900
80,0.0,1.0,0.0,125,900
81,1.0,0.0,0.5,125,900
82,1.0,0.0,1.0,125,900
83,1.0,0.0,1.5,125,900
84,1.0,0.0,2.0,125,900
85,1.0,0.02004008016032064,2.5,125,900
86,1.0,0.15831663326653306,3.0,125,900
87,1.0,0.4168336673346693,3.5,125,900
88,0.998,0.6072144288577155,4.0,125,900
89,0.992,0.7555110220440882,4.5,125,900
90,0.972,0.8376753507014028,5.0,125,900
91,0.942,0.8857715430861723,5.5,125,900
92,0.916,0.9218436873747495,6.0,125,900
93,0.876,0.9539078156312625,6.5,125,900
94,0.822,0.969939879759519,7.0,125,900
95,0.776,0.9839679358717435,7.5,125,900
96,0.0,1.0,0.0,150,900
97,1.0,0.0,0.5,150,900
98,1.0,0.0,1.0,150,900
99,1.0,0.0,1.5,150,900
100,1.0,0.0,2.0,150,900
101,1.0,0.01603206412825651,2.5,150,900
102,1.0,0.15831663326653306,3.0,150,900
103,1.0,0.39478957915831664,3.5,150,900
104,0.996,0.6132264529058116,4.0,150,900
105,0.99,0.7635270541082164,4.5,150,900
106,0.982,0.843687374749499,5.0,150,900
107,0.966,0.9198396793587175,5.5,150,900
108,0.93,0.9559118236472945,6.0,150,900
109,0.904,0.9719438877755511,6.5,150,900
110,0.868,0.9819639278557114,7.0,150,900
111,0.836,0.9899799599198397,7.5,150,900
112,0.0,1.0,0.0,0,905
113,0.0,1.0,0.5,0,905
114,0.0,1.0,1.0,0,905
115,0.0,1.0,1.5,0,905
116,0.0,1.0,2.0,0,905
117,0.0,1.0,2.5,0,905
118,0.0,1.0,3.0,0,905
119,0.0,1.0,3.5,0,905
120,0.0,1.0,4.0,0,905
121,0.0,1.0,4.5,0,905
122,0.0,1.0,5.0,0,905
123,0.0,1.0,5.5,0,905
124,0.0,1.0,6.0,0,905
125,0.0,1.0,6.5,0,905
126,0.0,1.0,7.0,0,905
127,0.0,1.0,7.5,0,905
128,0.0,1.0,0.0,25,905
129,0.992,0.002004008016032064,0.5,25,905
130,1.0,0.0,1.0,25,905
131,1.0,0.0,1.5,25,905
132,1.0,0.0,2.0,25,905
133,0.862,0.06412825651302605,2.5,25,905
134,0.56,0.34468937875751504,3.0,25,905
135,0.316,0.6352705410821643,3.5,25,905
136,0.218,0.7955911823647295,4.0,25,905
137,0.142,0.8797595190380761,4.5,25,905
138,0.082,0.9338677354709419,5.0,25,905
139,0.052,0.9619238476953907,5.5,25,905
140,0.034,0.9759519038076152,6.0,25,905
141,0.028,0.9859719438877755,6.5,25,905
142,0.016,0.9919839679358717,7.0,25,905
143,0.008,0.9979959919839679,7.5,25,905
144,0.0,1.0,0.0,50,905
145,1.0,0.002004008016032064,0.5,50,905
146,1.0,0.0,1.0,50,905
147,1.0,0.0,1.5,50,905
148,1.0,0.0,2.0,50,905
149,1.0,0.018036072144288578,2.5,50,905
150,0.99,0.17635270541082165,3.0,50,905
151,0.928,0.49298597194388777,3.5,50,905
152,0.762,0.685370741482966,4.0,50,905
153,0.544,0.8196392785571143,4.5,50,905
154,0.4,0.8857715430861723,5.0,50,905
155,0.306,0.9318637274549099,5.5,50,905
156,0.242,0.9579158316633266,6.0,50,905
157,0.164,0.9759519038076152,6.5,50,905
158,0.106,0.9839679358717435,7.0,50,905
159,0.078,0.9879759519038076,7.5,50,905
160,0.0,1.0,0.0,75,905
161,1.0,0.0,0.5,75,905
162,1.0,0.0,1.0,75,905
163,1.0,0.0,1.5,75,905
164,1.0,0.0,2.0,75,905
165,1.0,0.036072144288577156,2.5,75,905
166,0.996,0.1963927855711423,3.0,75,905
167,0.956,0.4729458917835671,3.5,75,905
168,0.91,0.6913827655310621,4.0,75,905
169,0.856,0.8016032064128257,4.5,75,905
170,0.8,0.8797595190380761,5.0,75,905
171,0.718,0.9298597194388778,5.5,75,905
172,0.618,0.9639278557114228,6.0,75,905
173,0.514,0.9739478957915831,6.5,75,905
174,0.444,0.9819639278557114,7.0,75,905
175,0.364,0.9879759519038076,7.5,75,905
176,0.0,1.0,0.0,100,905
177,1.0,0.0,0.5,100,905
178,1.0,0.0,1.0,100,905
179,1.0,0.0,1.5,100,905
180,1.0,0.0,2.0,100,905
181,1.0,0.03406813627254509,2.5,100,905
182,1.0,0.18236472945891782,3.0,100,905
183,0.998,0.4288577154308617,3.5,100,905
184,0.986,0.6332665330661322,4.0,100,905
185,0.966,0.7875751503006012,4.5,100,905
186,0.932,0.8557114228456913,5.0,100,905
187,0.88,0.9018036072144289,5.5,100,905
188,0.844,0.9478957915831663,6.0,100,905
189,0.794,0.9679358717434869,6.5,100,905
190,0.734,0.9819639278557114,7.0,100,905
191,0.716,0.9919839679358717,7.5,100,905
192,0.0,1.0,0.0,125,905
193,1.0,0.0,0.5,125,905
194,1.0,0.0,1.0,125,905
195,1.0,0.0,1.5,125,905
196,1.0,0.0,2.0,125,905
197,1.0,0.02404809619238477,2.5,125,905
198,1.0,0.1903807615230461,3.0,125,905
199,1.0,0.46893787575150303,3.5,125,905
200,0.998,0.6452905811623246,4.0,125,905
201,0.992,0.781563126252505,4.5,125,905
202,0.972,0.8557114228456913,5.0,125,905
203,0.936,0.905811623246493,5.5,125,905
204,0.908,0.9378757515030061,6.0,125,905
