,Unnamed: 0,sensitivity,specificity,inv_frac,delay_samples,decay_part
853,853,1.0,0.0,1.5,150,220
872,872,1.0,0.0,2.5,50,160
871,871,1.0,0.0,2.0,50,160
870,870,1.0,0.0,1.5,50,160
869,869,1.0,0.0,1.0,50,160
868,868,1.0,0.0,0.5,50,160
91,91,1.0,0.0,3.0,150,40
92,92,1.0,0.0,3.5,150,40
103,103,1.0,0.0,0.5,175,40
104,104,1.0,0.0,1.0,175,40
105,105,1.0,0.0,1.5,175,40
857,857,1.0,0.0,3.5,25,160
856,856,1.0,0.0,3.0,25,160
855,855,1.0,0.0,2.5,25,160
854,854,1.0,0.0,2.0,25,160
853,853,1.0,0.0,1.5,25,160
873,873,1.0,0.0,3.0,50,160
852,852,1.0,0.0,1.0,25,160
874,874,1.0,0.0,3.5,50,160
89,89,1.0,0.0,2.0,150,40
71,71,1.0,0.0,1.5,250,20
72,72,1.0,0.0,2.0,250,20
73,73,1.0,0.0,2.5,250,20
74,74,1.0,0.0,3.0,250,20
75,75,1.0,0.0,3.5,250,20
890,890,1.0,0.0,3.0,75,160
889,889,1.0,0.0,2.5,75,160
888,888,1.0,0.0,2.0,75,160
887,887,1.0,0.0,1.5,75,160
886,886,1.0,0.0,1.0,75,160
885,885,1.0,0.0,0.5,75,160
902,902,1.0,0.0,0.5,225,220
86,86,1.0,0.0,0.5,150,40
87,87,1.0,0.0,1.0,150,40
88,88,1.0,0.0,1.5,150,40
90,90,1.0,0.0,2.5,150,40
70,70,1.0,0.0,1.0,250,20
851,851,1.0,0.0,0.5,25,160
107,107,1.0,0.0,2.5,175,40
823,823,1.0,0.0,3.5,150,140
822,822,1.0,0.0,3.0,150,140
821,821,1.0,0.0,2.5,150,140
820,820,1.0,0.0,2.0,150,140
819,819,1.0,0.0,1.5,150,140
818,818,1.0,0.0,1.0,150,140
817,817,1.0,0.0,0.5,150,140
140,140,1.0,0.0,2.0,225,40
141,141,1.0,0.0,2.5,225,40
142,142,1.0,0.0,3.0,225,40
154,154,1.0,0.0,0.5,250,40
155,155,1.0,0.0,1.0,250,40
156,156,1.0,0.0,1.5,250,40
806,806,1.0,0.0,3.5,125,140
805,805,1.0,0.0,3.0,125,140
139,139,1.0,0.0,1.5,225,40
106,106,1.0,0.0,2.0,175,40
138,138,1.0,0.0,1.0,225,40
126,126,1.0,0.0,3.5,200,40
108,108,1.0,0.0,3.0,175,40
109,109,0.9993364299933644,0.0,3.5,175,40
1089,1089,1.0,0.0,0.5,250,260
1090,1090,1.0,0.0,1.0,250,260
1091,1091,1.0,0.0,1.5,250,260
1092,1092,1.0,0.0,2.0,250,260
1093,1093,1.0,0.0,2.5,250,260
