,sensitivity,specificity,inv_frac,delay_samples,window_width
0,0.0,1.0,0.0,150,10
1,0.986728599867286,0.11803713527851459,0.5,150,10
2,1.0,0.0,1.0,150,10
3,1.0,0.0,1.5,150,10
4,0.9927007299270073,0.11140583554376658,2.0,150,10
5,0.8314532183145322,0.6120689655172413,2.5,150,10
6,0.5096217650962177,0.8806366047745358,3.0,150,10
7,0.26343729263437293,0.9694960212201591,3.5,150,10
8,0.11944260119442601,0.9887267904509284,4.0,150,10
9,0.062375580623755804,0.9953580901856764,4.5,150,10
10,0.0325149303251493,0.9973474801061007,5.0,150,10
11,0.0165892501658925,0.9993368700265252,5.5,150,10
12,0.008626410086264101,0.9993368700265252,6.0,150,10
13,0.005972130059721301,0.9993368700265252,6.5,150,10
14,0.0033178500331785005,0.9993368700265252,7.0,150,10
15,0.0019907100199071004,0.9993368700265252,7.5,150,10
16,0.0013271400132714001,0.9993368700265252,8.0,150,10
17,0.0,1.0,0.0,175,10
18,0.9854014598540146,0.08222811671087533,0.5,175,10
19,1.0,0.0,1.0,175,10
20,1.0,0.0,1.5,175,10
21,0.9966821499668215,0.11870026525198939,2.0,175,10
22,0.8234903782349038,0.6372679045092838,2.5,175,10
23,0.49435965494359657,0.883289124668435,3.0,175,10
24,0.24153948241539483,0.9615384615384616,3.5,175,10
25,0.11877903118779032,0.9887267904509284,4.0,175,10
26,0.06104844061048441,0.9953580901856764,4.5,175,10
27,0.030524220305242204,0.9973474801061007,5.0,175,10
28,0.012607830126078301,0.9986737400530504,5.5,175,10
29,0.003981420039814201,0.9986737400530504,6.0,175,10
30,0.0,0.9993368700265252,6.5,175,10
31,0.0,0.9993368700265252,7.0,175,10
32,0.0,0.9993368700265252,7.5,175,10
33,0.0,0.9993368700265252,8.0,175,10
34,0.0,1.0,0.0,200,10
35,0.8646317186463172,0.005305039787798408,0.5,200,10
36,1.0,0.0,1.0,200,10
37,1.0,0.0,1.5,200,10
38,0.9927007299270073,0.14920424403183025,2.0,200,10
39,0.8334439283344393,0.6472148541114059,2.5,200,10
40,0.47577969475779697,0.9051724137931034,3.0,200,10
41,0.252156602521566,0.9754641909814323,3.5,200,10
42,0.1234240212342402,0.9880636604774535,4.0,200,10
43,0.05706702057067021,0.9953580901856764,4.5,200,10
44,0.0225613802256138,0.9973474801061007,5.0,200,10
45,0.0072992700729927005,0.9986737400530504,5.5,200,10
46,0.0026542800265428003,0.9993368700265252,6.0,200,10
47,0.0019907100199071004,0.9993368700265252,6.5,200,10
48,0.0006635700066357001,0.9993368700265252,7.0,200,10
49,0.0006635700066357001,0.9993368700265252,7.5,200,10
50,0.0,0.9993368700265252,8.0,200,10
51,0.0,1.0,0.0,225,10
52,0.8560053085600531,0.004641909814323607,0.5,225,10
53,1.0,0.0,1.0,225,10
54,1.0,0.0,1.5,225,10
55,0.9966821499668215,0.14920424403183025,2.0,225,10
56,0.8573324485733245,0.6458885941644562,2.5,225,10
57,0.5242203052422031,0.899867374005305,3.0,225,10
58,0.27007299270072993,0.9681697612732095,3.5,225,10
59,0.11612475116124751,0.9887267904509284,4.0,225,10
60,0.062375580623755804,0.9953580901856764,4.5,225,10
61,0.031187790311877902,0.996684350132626,5.0,225,10
62,0.017916390179163903,0.9980106100795756,5.5,225,10
63,0.008626410086264101,0.9993368700265252,6.0,225,10
64,0.003981420039814201,0.9993368700265252,6.5,225,10
65,0.0019907100199071004,0.9993368700265252,7.0,225,10
66,0.0019907100199071004,0.9993368700265252,7.5,225,10
67,0.0,0.9993368700265252,8.0,225,10
68,0.0,1.0,0.0,250,10
69,0.8447246184472462,0.005305039787798408,0.5,250,10
70,1.0,0.0,1.0,250,10
71,1.0,0.0,1.5,250,10
72,0.9940278699402787,0.14986737400530503,2.0,250,10
73,0.822826808228268,0.6478779840848806,2.5,250,10
74,0.5063039150630392,0.8985411140583555,3.0,250,10
75,0.252156602521566,0.9728116710875332,3.5,250,10
76,0.12408759124087591,0.9927055702917772,4.0,250,10
77,0.06569343065693431,0.9973474801061007,4.5,250,10
78,0.027206370272063702,0.9986737400530504,5.0,250,10
79,0.010617120106171201,0.9993368700265252,5.5,250,10
80,0.0072992700729927005,0.9993368700265252,6.0,250,10
81,0.0026542800265428003,0.9993368700265252,6.5,250,10
82,0.0013271400132714001,0.9993368700265252,7.0,250,10
83,0.0,0.9993368700265252,7.5,250,10
84,0.0,0.9993368700265252,8.0,250,10
85,0.0,1.0,0.0,150,30
86,0.44790975447909753,0.9681697612732095,0.5,150,30
87,1.0,0.0,1.0,150,30
88,0.9860650298606503,0.30437665782493367,1.5,150,30
89,0.44658261446582614,0.9728116710875332,2.0,150,30
90,0.0710019907100199,0.9986737400530504,2.5,150,30
91,0.006635700066357001,0.9993368700265252,3.0,150,30
92,0.0,0.9993368700265252,3.5,150,30
93,0.0,0.9993368700265252,4.0,150,30
94,0.0,0.9993368700265252,4.5,150,30
95,0.0,0.9993368700265252,5.0,150,30
96,0.0,0.9993368700265252,5.5,150,30
97,0.0,0.9993368700265252,6.0,150,30
98,0.0,0.9993368700265252,6.5,150,30
99,0.0,0.9993368700265252,7.0,150,30
100,0.0,0.9993368700265252,7.5,150,30
101,0.0,0.9993368700265252,8.0,150,30
102,0.0,1.0,0.0,175,30
103,0.33908427339084274,0.8309018567639257,0.5,175,30
104,1.0,0.0,1.0,175,30
105,0.9927007299270073,0.32427055702917773,1.5,175,30
106,0.44061048440610484,0.9688328912466844,2.0,175,30
107,0.06901128069011281,0.9986737400530504,2.5,175,30
108,0.0033178500331785005,0.9993368700265252,3.0,175,30
109,0.0,0.9993368700265252,3.5,175,30
