,sensitivity,specificity,inv_frac,delay_samples,window_width
0,0.0,0.9993368700265252,0.0,150,1
1,1.0,0.0,0.5,150,1
2,1.0,0.0,1.0,150,1
3,1.0,0.0,1.5,150,1
4,1.0,0.0,2.0,150,1
5,1.0,0.0,2.5,150,1
6,1.0,0.0,3.0,150,1
7,1.0,0.0,3.5,150,1
8,1.0,0.0,4.0,150,1
9,1.0,0.001326259946949602,4.5,150,1
10,0.9953550099535501,0.008620689655172414,5.0,150,1
11,0.9854014598540146,0.015251989389920425,5.5,150,1
12,0.9694757796947578,0.04111405835543767,6.0,150,1
13,0.9475779694757797,0.07758620689655173,6.5,150,1
14,0.9216987392169874,0.11870026525198939,7.0,150,1
15,0.8825481088254811,0.14920424403183025,7.5,150,1
16,0.8347710683477106,0.1956233421750663,8.0,150,1
17,0.0,0.9993368700265252,0.0,175,1
18,1.0,0.0,0.5,175,1
19,1.0,0.0,1.0,175,1
20,1.0,0.0,1.5,175,1
21,1.0,0.0,2.0,175,1
22,1.0,0.0,2.5,175,1
23,1.0,0.0,3.0,175,1
24,1.0,0.0,3.5,175,1
25,0.9993364299933643,0.0,4.0,175,1
26,0.9973457199734572,0.0,4.5,175,1
27,0.986728599867286,0.014588859416445624,5.0,175,1
28,0.9701393497013935,0.03580901856763926,5.5,175,1
29,0.9462508294625083,0.0649867374005305,6.0,175,1
30,0.9263437292634373,0.10278514588859416,6.5,175,1
31,0.8785666887856669,0.15450928381962864,7.0,175,1
32,0.834107498341075,0.20424403183023873,7.5,175,1
33,0.7850033178500332,0.2639257294429708,8.0,175,1
34,0.0,0.9993368700265252,0.0,200,1
35,1.0,0.0,0.5,200,1
36,1.0,0.0,1.0,200,1
37,1.0,0.0,1.5,200,1
38,1.0,0.0,2.0,200,1
39,1.0,0.0,2.5,200,1
40,1.0,0.0,3.0,200,1
41,1.0,0.0,3.5,200,1
42,1.0,0.0,4.0,200,1
43,0.9993364299933643,0.001989389920424403,4.5,200,1
44,0.9986728599867286,0.008620689655172414,5.0,200,1
45,0.9927007299270073,0.021883289124668436,5.5,200,1
46,0.9781021897810219,0.04376657824933687,6.0,200,1
47,0.9555408095554081,0.07758620689655173,6.5,200,1
48,0.9223623092236231,0.11538461538461539,7.0,200,1
49,0.8832116788321168,0.16379310344827586,7.5,200,1
50,0.8380889183808892,0.22214854111405835,8.0,200,1
51,0.0,0.9993368700265252,0.0,225,1
52,1.0,0.0,0.5,225,1
53,1.0,0.0,1.0,225,1
54,1.0,0.0,1.5,225,1
55,1.0,0.0,2.0,225,1
56,1.0,0.0,2.5,225,1
57,1.0,0.0,3.0,225,1
58,1.0,0.000663129973474801,3.5,225,1
59,1.0,0.000663129973474801,4.0,225,1
60,0.9966821499668215,0.004641909814323607,4.5,225,1
61,0.9893828798938288,0.019230769230769232,5.0,225,1
62,0.9774386197743862,0.038461538461538464,5.5,225,1
63,0.953550099535501,0.0709549071618037,6.0,225,1
64,0.9263437292634373,0.11339522546419098,6.5,225,1
65,0.8931652289316523,0.16511936339522545,7.0,225,1
66,0.8540145985401459,0.21684350132625996,7.5,225,1
67,0.807564698075647,0.27055702917771884,8.0,225,1
68,0.0,0.9993368700265252,0.0,250,1
69,1.0,0.0,0.5,250,1
70,1.0,0.0,1.0,250,1
71,1.0,0.0,1.5,250,1
72,1.0,0.0,2.0,250,1
73,1.0,0.0,2.5,250,1
74,1.0,0.0,3.0,250,1
75,1.0,0.0,3.5,250,1
76,1.0,0.000663129973474801,4.0,250,1
77,1.0,0.001989389920424403,4.5,250,1
78,0.9986728599867286,0.007294429708222812,5.0,250,1
79,0.9854014598540146,0.026525198938992044,5.5,250,1
80,0.9681486396814863,0.0616710875331565,6.0,250,1
81,0.9396151293961513,0.09748010610079576,6.5,250,1
82,0.8998009289980093,0.1419098143236074,7.0,250,1
83,0.860650298606503,0.1929708222811671,7.5,250,1
84,0.8195089581950896,0.2480106100795756,8.0,250,1
85,0.0,1.0,0.0,150,4
86,1.0,0.0,0.5,150,4
87,1.0,0.0,1.0,150,4
88,1.0,0.0,1.5,150,4
89,1.0,0.0,2.0,150,4
90,1.0,0.001989389920424403,2.5,150,4
91,0.9880557398805574,0.05570291777188329,3.0,150,4
92,0.9057730590577306,0.21153846153846154,3.5,150,4
93,0.7471798274717982,0.4389920424403183,4.0,150,4
94,0.5812873258128732,0.6127320954907162,4.5,150,4
95,0.42800265428002654,0.7427055702917772,5.0,150,4
96,0.31851360318513605,0.8222811671087533,5.5,150,4
97,0.23755806237558064,0.8759946949602122,6.0,150,4
98,0.16655607166556072,0.9184350132625995,6.5,150,4
99,0.12475116124751161,0.9416445623342176,7.0,150,4
100,0.09289980092899801,0.9555702917771883,7.5,150,4
101,0.0710019907100199,0.9675066312997348,8.0,150,4
102,0.0,1.0,0.0,175,4
103,1.0,0.0,0.5,175,4
104,1.0,0.0,1.0,175,4
105,1.0,0.0,1.5,175,4
106,1.0,0.0,2.0,175,4
107,1.0,0.000663129973474801,2.5,175,4
108,0.9887193098871931,0.04973474801061008,3.0,175,4
109,0.9017916390179164,0.22480106100795755,3.5,175,4
110,0.7378898473788985,0.4383289124668435,4.0,175,4
111,0.5560716655607166,0.6153846153846154,4.5,175,4
112,0.41340411413404116,0.743368700265252,5.0,175,4
113,0.29993364299933645,0.8242705570291777,5.5,175,4
114,0.21765096217650962,0.8740053050397878,6.0,175,4
115,0.1612475116124751,0.9104774535809018,6.5,175,4
116,0.1201061712010617,0.9363395225464191,7.0,175,4
117,0.0948905109489051,0.9515915119363395,7.5,175,4
118,0.0650298606502986,0.9641909814323607,8.0,175,4
119,0.0,1.0,0.0,200,4
120,1.0,0.0,0.5,200,4
121,1.0,0.0,1.0,200,4
122,1.0,0.0,1.5,200,4
123,1.0,0.0,2.0,200,4
124,1.0,0.002652519893899204,2.5,200,4
125,0.9880557398805574,0.0629973474801061,3.0,200,4
126,0.9243530192435302,0.24005305039787797,3.5,200,4
127,0.7571333775713338,0.4608753315649867,4.0,200,4
128,0.5958858659588586,0.6419098143236074,4.5,200,4
129,0.43928334439283345,0.7606100795755968,5.0,200,4
130,0.31917717319177175,0.8375331564986738,5.5,200,4
131,0.22229595222295953,0.8779840848806366,6.0,200,4
132,0.1519575315195753,0.9171087533156499,6.5,200,4
133,0.1108161911081619,0.9389920424403183,7.0,200,4
134,0.0836098208360982,0.9542440318302388,7.5,200,4
135,0.059721300597213006,0.96684350132626,8.0,200,4
136,0.0,1.0,0.0,225,4
137,1.0,0.0,0.5,225,4
138,1.0,0.0,1.0,225,4
139,1.0,0.0,1.5,225,4
140,1.0,0.0,2.0,225,4
141,1.0,0.002652519893899204,2.5,225,4
142,0.9913735899137359,0.0656498673740053,3.0,225,4
143,0.9250165892501659,0.2354111405835544,3.5,225,4
144,0.7790311877903119,0.4588859416445623,4.0,225,4
145,0.6038487060384871,0.6472148541114059,4.5,225,4
146,0.43530192435301923,0.7685676392572944,5.0,225,4
147,0.31254147312541475,0.8395225464190982,5.5,225,4
148,0.24220305242203052,0.8806366047745358,6.0,225,4
149,0.17783676177836763,0.9204244031830239,6.5,225,4
150,0.12740544127405443,0.9416445623342176,7.0,225,4
151,0.09688122096881222,0.9515915119363395,7.5,225,4
152,0.07166556071665561,0.9675066312997348,8.0,225,4
153,0.0,1.0,0.0,250,4
154,1.0,0.0,0.5,250,4
155,1.0,0.0,1.0,250,4
156,1.0,0.0,1.5,250,4
157,1.0,0.0,2.0,250,4
158,0.9986728599867286,0.003978779840848806,2.5,250,4
159,0.9827471798274718,0.0656498673740053,3.0,250,4
160,0.8944923689449237,0.25,3.5,250,4
161,0.7292634372926343,0.4761273209549072,4.0,250,4
162,0.5739880557398805,0.6259946949602122,4.5,250,4
163,0.44061048440610484,0.7586206896551724,5.0,250,4
164,0.32050431320504313,0.8315649867374005,5.5,250,4
165,0.23025879230258792,0.8819628647214854,6.0,250,4
166,0.16257465162574652,0.9118037135278515,6.5,250,4
167,0.11877903118779032,0.9356763925729443,7.0,250,4
168,0.09754479097544791,0.9522546419098143,7.5,250,4
169,0.0756469807564698,0.9628647214854111,8.0,250,4
170,0.0,1.0,0.0,150,7
171,0.9993364299933643,0.005968169761273209,0.5,150,7
172,1.0,0.0,1.0,150,7
173,1.0,0.0,1.5,150,7
174,0.9993364299933643,0.007294429708222812,2.0,150,7
175,0.9595222295952223,0.21618037135278514,2.5,150,7
176,0.7531519575315195,0.5656498673740054,3.0,150,7
177,0.49834107498341074,0.8017241379310345,3.5,150,7
178,0.28931652289316523,0.9058355437665783,4.0,150,7
179,0.17319177173191772,0.9568965517241379,4.5,150,7
180,0.09356337093563372,0.9814323607427056,5.0,150,7
181,0.0577305905773059,0.9893899204244032,5.5,150,7
182,0.0378234903782349,0.9927055702917772,6.0,150,7
183,0.025879230258792303,0.9973474801061007,6.5,150,7
184,0.0185799601857996,0.9980106100795756,7.0,150,7
185,0.011944260119442602,0.9986737400530504,7.5,150,7
186,0.0072992700729927005,0.9993368700265252,8.0,150,7
187,0.0,1.0,0.0,175,7
188,1.0,0.007294429708222812,0.5,175,7
189,1.0,0.0,1.0,175,7
190,1.0,0.0,1.5,175,7
191,1.0,0.005305039787798408,2.0,175,7
192,0.9635036496350365,0.22612732095490717,2.5,175,7
193,0.73457199734572,0.5895225464190982,3.0,175,7
194,0.48175182481751827,0.8123342175066313,3.5,175,7
195,0.28135368281353684,0.9098143236074271,4.0,175,7
196,0.16854678168546783,0.9615384615384616,4.5,175,7
197,0.09688122096881222,0.9807692307692307,5.0,175,7
198,0.06104844061048441,0.9880636604774535,5.5,175,7
199,0.038487060384870604,0.9927055702917772,6.0,175,7
200,0.021897810218978103,0.9953580901856764,6.5,175,7
201,0.0112806901128069,0.9973474801061007,7.0,175,7
202,0.005972130059721301,0.9980106100795756,7.5,175,7
203,0.0046449900464499,0.9980106100795756,8.0,175,7
204,0.0,1.0,0.0,200,7
205,0.9854014598540146,0.000663129973474801,0.5,200,7
206,1.0,0.0,1.0,200,7
207,1.0,0.0,1.5,200,7
208,1.0,0.008620689655172414,2.0,200,7
209,0.962176509621765,0.2572944297082228,2.5,200,7
210,0.7465162574651626,0.6120689655172413,3.0,200,7
211,0.4996682149966821,0.8381962864721485,3.5,200,7
212,0.29396151293961514,0.9257294429708223,4.0,200,7
213,0.1639017916390179,0.9615384615384616,4.5,200,7
214,0.0948905109489051,0.9807692307692307,5.0,200,7
215,0.0577305905773059,0.9880636604774535,5.5,200,7
216,0.028533510285335104,0.9927055702917772,6.0,200,7
217,0.015262110152621102,0.9973474801061007,6.5,200,7
218,0.010617120106171201,0.9980106100795756,7.0,200,7
219,0.007962840079628402,0.9980106100795756,7.5,200,7
220,0.0053085600530856005,0.9980106100795756,8.0,200,7
221,0.0,1.0,0.0,225,7
222,0.9873921698739216,0.0,0.5,225,7
223,1.0,0.0,1.0,225,7
224,1.0,0.0,1.5,225,7
225,1.0,0.009946949602122016,2.0,225,7
226,0.9688122096881221,0.2380636604774536,2.5,225,7
227,0.774386197743862,0.6193633952254642,3.0,225,7
228,0.5063039150630392,0.8348806366047745,3.5,225,7
229,0.3039150630391506,0.9210875331564987,4.0,225,7
230,0.1831453218314532,0.9542440318302388,4.5,225,7
231,0.10351692103516921,0.9787798408488063,5.0,225,7
232,0.06104844061048441,0.986737400530504,5.5,225,7
233,0.0364963503649635,0.9920424403183024,6.0,225,7
234,0.025879230258792303,0.9953580901856764,6.5,225,7
235,0.015925680159256803,0.9973474801061007,7.0,225,7
236,0.006635700066357001,0.9980106100795756,7.5,225,7
237,0.006635700066357001,0.9980106100795756,8.0,225,7
238,0.0,1.0,0.0,250,7
239,0.9827471798274718,0.000663129973474801,0.5,250,7
