,sensitivity,specificity,inv_frac,delay_samples,decay_part
0,0.0,1.0,0.0,0,900
1,0.0,1.0,0.5,0,900
2,0.0,1.0,1.0,0,900
3,0.0,1.0,1.5,0,900
4,0.0,1.0,2.0,0,900
5,0.0,1.0,2.5,0,900
6,0.0,1.0,3.0,0,900
7,0.0,0.9998666488865182,3.5,0,900
8,0.0,1.0,4.0,0,900
9,0.0,1.0,4.5,0,900
10,0.0,1.0,5.0,0,900
11,0.0,1.0,5.5,0,900
12,0.0,1.0,6.0,0,900
13,0.0,1.0,6.5,0,900
14,0.0,1.0,7.0,0,900
15,0.0,1.0,7.5,0,900
16,0.0,1.0,8.0,0,900
17,0.0,1.0,0.0,25,900
18,0.566,0.2140285371382851,0.5,25,900
19,1.0,0.0,1.0,25,900
20,0.974,0.016135484731297507,1.5,25,900
21,0.608,0.2085611414855314,2.0,25,900
22,0.268,0.4725963461794906,2.5,25,900
23,0.138,0.6583544472596347,3.0,25,900
24,0.07,0.7786371516202161,3.5,25,900
25,0.026,0.8606480864115216,4.0,25,900
26,0.018,0.907054273903187,4.5,25,900
27,0.01,0.9357247633017736,5.0,25,900
28,0.004,0.9562608347779704,5.5,25,900
29,0.002,0.9705294039205228,6.0,25,900
30,0.0,0.9790638751833578,6.5,25,900
31,0.0,0.9843979197226297,7.0,25,900
32,0.0,0.987464995332711,7.5,25,900
33,0.0,0.9898653153753834,8.0,25,900
34,0.0,1.0,0.0,50,900
35,0.688,0.20509401253500467,0.5,50,900
36,1.0,0.0,1.0,50,900
37,0.99,0.018935858114415255,1.5,50,900
38,0.788,0.2030937458327777,2.0,50,900
39,0.448,0.45939458594479265,2.5,50,900
40,0.248,0.6547539671956261,3.0,50,900
41,0.138,0.7718362448326443,3.5,50,900
42,0.064,0.851180157354314,4.0,50,900
43,0.038,0.9007867715695426,4.5,50,900
44,0.018,0.9342579010534738,5.0,50,900
45,0.012,0.9527937058274436,5.5,50,900
46,0.002,0.9666622216295506,6.0,50,900
47,0.002,0.9757300973463129,6.5,50,900
48,0.002,0.9818642485664756,7.0,50,900
49,0.002,0.9873316442192293,7.5,50,900
50,0.002,0.991465528737165,8.0,50,900
51,0.0,1.0,0.0,75,900
52,0.728,0.19495932791038806,0.5,75,900
53,1.0,0.0,1.0,75,900
54,0.998,0.02360314708627817,1.5,75,900
55,0.864,0.21189491932257634,2.0,75,900
56,0.57,0.47139618615815443,2.5,75,900
57,0.35,0.6624883317775704,3.0,75,900
58,0.218,0.7865048673156421,3.5,75,900
59,0.12,0.8593145752767035,4.0,75,900
60,0.058,0.907054273903187,4.5,75,900
61,0.028,0.9339911988265102,5.0,75,900
62,0.024,0.9563941858914522,5.5,75,900
63,0.018,0.9667955727430324,6.0,75,900
64,0.014,0.9759967995732765,6.5,75,900
65,0.01,0.9822643019069209,7.0,75,900
66,0.006,0.9866648886518202,7.5,75,900
67,0.006,0.9898653153753834,8.0,75,900
68,0.0,1.0,0.0,100,900
69,0.742,0.20696092812374983,0.5,100,900
70,1.0,0.0006667555674089878,1.0,100,900
71,0.998,0.035871449526603545,1.5,100,900
72,0.908,0.23509801306840913,2.0,100,900
73,0.726,0.49259901320176025,2.5,100,900
74,0.5,0.6687558341112149,3.0,100,900
75,0.34,0.7879717295639419,3.5,100,900
76,0.202,0.8558474463261768,4.0,100,900
77,0.12,0.9030537404987332,4.5,100,900
78,0.078,0.9293239098546473,5.0,100,900
79,0.058,0.9485264701960261,5.5,100,900
80,0.042,0.9626616882250967,6.0,100,900
81,0.026,0.9719962661688225,6.5,100,900
82,0.022,0.978930524069876,7.0,100,900
83,0.018,0.9841312174956661,7.5,100,900
84,0.012,0.9881317509001201,8.0,100,900
85,0.0,1.0,0.0,125,900
86,0.722,0.23843179090545405,0.5,125,900
87,1.0,0.003733831177490332,1.0,125,900
88,0.996,0.04440592078943859,1.5,125,900
89,0.946,0.26136818242432325,2.0,125,900
90,0.758,0.49206560874783306,2.5,125,900
91,0.562,0.6675556740898787,3.0,125,900
92,0.36,0.7795706094145887,3.5,125,900
93,0.246,0.8513135084677957,4.0,125,900
94,0.17,0.898519802640352,4.5,125,900
95,0.116,0.9294572609681291,5.0,125,900
96,0.084,0.9497266302173624,5.5,125,900
97,0.052,0.9638618482464328,6.0,125,900
98,0.034,0.9734631284171222,6.5,125,900
99,0.024,0.9799973329777304,7.0,125,900
100,0.014,0.9837311641552207,7.5,125,900
101,0.01,0.9885318042405654,8.0,125,900
102,0.0,1.0,0.0,150,900
103,0.632,0.22402987064941993,0.5,150,900
104,1.0,0.0029337244965995466,1.0,150,900
105,1.0,0.043739165222029606,1.5,150,900
106,0.948,0.24949993332444326,2.0,150,900
107,0.788,0.481530870782771,2.5,150,900
108,0.562,0.6682224296572876,3.0,150,900
109,0.38,0.7827710361381518,3.5,150,900
110,0.282,0.855714095212695,4.0,150,900
111,0.186,0.9027870382717695,4.5,150,900
112,0.118,0.9371916255500733,5.0,150,900
113,0.066,0.9555940792105614,5.5,150,900
114,0.044,0.969729297239632,6.0,150,900
115,0.034,0.9783971196159488,6.5,150,900
116,0.022,0.9839978663821843,7.0,150,900
117,0.006,0.9881317509001201,7.5,150,900
118,0.0,0.9909321242832377,8.0,150,900
119,0.0,1.0,0.0,0,905
120,0.0,1.0,0.5,0,905
121,0.0,1.0,1.0,0,905
122,0.0,1.0,1.5,0,905
123,0.0,1.0,2.0,0,905
124,0.0,1.0,2.5,0,905
125,0.0,1.0,3.0,0,905
126,0.0,1.0,3.5,0,905
127,0.0,1.0,4.0,0,905
128,0.0,1.0,4.5,0,905
129,0.0,1.0,5.0,0,905
130,0.0,1.0,5.5,0,905
131,0.0,1.0,6.0,0,905
132,0.0,1.0,6.5,0,905
133,0.0,1.0,7.0,0,905
134,0.0,1.0,7.5,0,905
135,0.0,1.0,8.0,0,905
136,0.0,1.0,0.0,25,905
137,0.532,0.22829710628083744,0.5,25,905
138,1.0,0.0,1.0,25,905
139,0.972,0.017202293639151888,1.5,25,905
140,0.596,0.22229630617415655,2.0,25,905
141,0.258,0.49219895986131484,2.5,25,905
142,0.128,0.6783571142819043,3.0,25,905
143,0.06,0.7961061474863315,3.5,25,905
144,0.024,0.8722496332844379,4.0,25,905
145,0.016,0.9179890652086945,4.5,25,905
146,0.008,0.9437258301106815,5.0,25,905
147,0.002,0.9623949859981331,5.5,25,905
148,0.0,0.9750633417789039,6.0,25,905
149,0.0,0.9818642485664756,6.5,25,905
150,0.0,0.9866648886518202,7.0,25,905
151,0.0,0.9890652086944925,7.5,25,905
152,0.0,0.9917322309641285,8.0,25,905
153,0.0,1.0,0.0,50,905
154,0.676,0.21562875050006666,0.5,50,905
155,1.0,0.0,1.0,50,905
156,0.988,0.020669422589678625,1.5,50,905
157,0.78,0.2141618882517669,2.0,50,905
158,0.432,0.4767302306974263,2.5,50,905
159,0.23,0.6727563675156688,3.0,50,905
160,0.13,0.7843712494999333,3.5,50,905
161,0.058,0.8618482464328577,4.0,50,905
162,0.034,0.9103880517402321,4.5,50,905
163,0.016,0.9417255634084545,5.0,50,905
164,0.008,0.9599946659554607,5.5,50,905
165,0.002,0.9703960528070409,6.0,50,905
166,0.002,0.9790638751833578,6.5,50,905
167,0.002,0.9849313241765568,7.0,50,905
168,0.002,0.9895986131484198,7.5,50,905
169,0.002,0.9926656887585011,8.0,50,905
170,0.0,1.0,0.0,75,905
171,0.716,0.20642752366982264,0.5,75,905
172,1.0,0.0,1.0,75,905
173,0.998,0.025070009334577942,1.5,75,905
174,0.856,0.22402987064941993,2.0,75,905
175,0.56,0.4876650220029337,2.5,75,905
176,0.34,0.67582344312575,3.0,75,905
177,0.194,0.7989065208694492,3.5,75,905
178,0.11,0.8690492065608748,4.0,75,905
179,0.056,0.9155887451660222,4.5,75,905
180,0.028,0.9410588078410455,5.0,75,905
181,0.024,0.9606614215228697,5.5,75,905
182,0.016,0.9713295106014135,6.0,75,905
183,0.01,0.9790638751833578,6.5,75,905
184,0.01,0.9846646219495933,7.0,75,905
185,0.006,0.9886651553540472,7.5,75,905
186,0.004,0.9911988265102014,8.0,75,905
187,0.0,1.0,0.0,100,905
188,0.728,0.21682891052140285,0.5,100,905
189,1.0,0.0008001066808907855,1.0,100,905
190,0.998,0.038138418455794104,1.5,100,905
191,0.892,0.24776636884917988,2.0,100,905
192,0.716,0.5060674756634218,2.5,100,905
193,0.496,0.6814241898919856,3.0,100,905
194,0.328,0.7975730097346313,3.5,100,905
195,0.192,0.8659821309507935,4.0,100,905
196,0.12,0.9107881050806774,4.5,100,905
197,0.074,0.9353247099613282,5.0,100,905
