,sensitivity,specificity,inv_frac,delay_samples,window_width
0,0.0,1.0,0.0,0,20
1,0.0,1.0,0.5,0,20
2,0.0,1.0,1.0,0,20
3,0.0,1.0,1.5,0,20
4,0.0,1.0,2.0,0,20
5,0.0,1.0,2.5,0,20
6,0.0,1.0,3.0,0,20
7,0.0,1.0,3.5,0,20
8,0.0,1.0,4.0,0,20
9,0.0,1.0,4.5,0,20
10,0.0,1.0,5.0,0,20
11,0.0,1.0,5.5,0,20
12,0.0,1.0,6.0,0,20
13,0.0,1.0,6.5,0,20
14,0.0,1.0,7.0,0,20
15,0.0,1.0,7.5,0,20
16,0.0,1.0,8.0,0,20
17,0.0,1.0,0.0,25,20
18,0.632,0.15028670489398588,0.5,25,20
19,1.0,0.0,1.0,25,20
20,0.974,0.010268035738098412,1.5,25,20
21,0.652,0.1530870782771036,2.0,25,20
22,0.326,0.3744499266568876,2.5,25,20
23,0.18,0.5478063741832244,3.0,25,20
24,0.102,0.667288971862915,3.5,25,20
25,0.058,0.7509001200160021,4.0,25,20
26,0.034,0.8138418455794106,4.5,25,20
27,0.024,0.855714095212695,5.0,25,20
28,0.016,0.8878517135618083,5.5,25,20
29,0.008,0.9091878917188958,6.0,25,20
30,0.006,0.9290572076276837,6.5,25,20
31,0.004,0.9405254033871183,7.0,25,20
32,0.004,0.9498599813308441,7.5,25,20
33,0.0,0.9569275903453793,8.0,25,20
34,0.0,1.0,0.0,50,20
35,0.696,0.16975596746232832,0.5,50,20
36,1.0,0.0,1.0,50,20
37,0.992,0.018402453660488066,1.5,50,20
38,0.806,0.17268969195892786,2.0,50,20
39,0.486,0.4023203093745833,2.5,50,20
40,0.302,0.5738098413121749,3.0,50,20
41,0.17,0.691692225630084,3.5,50,20
42,0.096,0.7710361381517535,4.0,50,20
43,0.062,0.8283771169489266,4.5,50,20
44,0.038,0.8705160688091745,5.0,50,20
45,0.024,0.8963861848246433,5.5,50,20
46,0.02,0.9169222563008401,6.0,50,20
47,0.008,0.9321242832377651,6.5,50,20
48,0.006,0.9437258301106815,7.0,50,20
49,0.002,0.9533271102813708,7.5,50,20
50,0.002,0.9607947726363515,8.0,50,20
51,0.0,1.0,0.0,75,20
52,0.746,0.1761568209094546,0.5,75,20
53,1.0,0.0,1.0,75,20
54,0.996,0.021202827043605814,1.5,75,20
55,0.868,0.18229097212961728,2.0,75,20
56,0.618,0.40592078943859183,2.5,75,20
57,0.39,0.5824776636884919,3.0,75,20
58,0.276,0.7014268569142552,3.5,75,20
59,0.154,0.7830377383651154,4.0,75,20
60,0.108,0.8370449393252434,4.5,75,20
61,0.066,0.8761168155754101,5.0,75,20
62,0.046,0.9027870382717695,5.5,75,20
63,0.028,0.9203893852513668,6.0,75,20
64,0.024,0.9345246032804374,6.5,75,20
65,0.016,0.9441258834511268,7.0,75,20
66,0.012,0.9529270569409255,7.5,75,20
67,0.006,0.9626616882250967,8.0,75,20
68,0.0,1.0,0.0,100,20
69,0.758,0.17482330977463661,0.5,100,20
70,1.0,0.0005334044539271903,1.0,100,20
71,0.998,0.025070009334577942,1.5,100,20
72,0.908,0.18895852780370717,2.0,100,20
73,0.73,0.4060541405520736,2.5,100,20
74,0.548,0.5739431924256567,3.0,100,20
75,0.394,0.6967595679423924,3.5,100,20
76,0.262,0.7786371516202161,4.0,100,20
77,0.176,0.831310841445526,4.5,100,20
78,0.118,0.8694492599013202,5.0,100,20
79,0.08,0.8950526736898253,5.5,100,20
80,0.052,0.9159887985064675,6.0,100,20
81,0.048,0.9303907187625017,6.5,100,20
82,0.04,0.943325776770236,7.0,100,20
83,0.03,0.9527937058274436,7.5,100,20
84,0.024,0.9595946126150153,8.0,100,20
85,0.0,1.0,0.0,125,20
86,0.744,0.17855714095212696,0.5,125,20
87,1.0,0.0021336178157087614,1.0,125,20
88,0.998,0.030404053873849847,1.5,125,20
89,0.942,0.19442592345646087,2.0,125,20
90,0.774,0.3947192959061208,2.5,125,20
91,0.58,0.5570076010134685,3.0,125,20
92,0.422,0.6759567942392319,3.5,125,20
93,0.318,0.758234431257501,4.0,125,20
94,0.216,0.8187758367782371,4.5,125,20
95,0.172,0.8591812241632217,5.0,125,20
96,0.138,0.8869182557674357,5.5,125,20
97,0.092,0.9081210828110414,6.0,125,20
98,0.074,0.9255900786771569,6.5,125,20
99,0.058,0.9375916788905188,7.0,125,20
100,0.05,0.9481264168555807,7.5,125,20
101,0.036,0.9554607280970796,8.0,125,20
102,0.0,1.0,0.0,150,20
103,0.688,0.17869049206560875,0.5,150,20
104,1.0,0.002400320042672356,1.0,150,20
105,0.996,0.03960528070409388,1.5,150,20
106,0.95,0.2141618882517669,2.0,150,20
107,0.8,0.4121882917722363,2.5,150,20
108,0.598,0.5819442592345646,3.0,150,20
109,0.444,0.7016935591412188,3.5,150,20
110,0.324,0.7750366715562075,4.0,150,20
111,0.25,0.827443659154554,4.5,150,20
112,0.182,0.8703827176956928,5.0,150,20
113,0.126,0.9014535271369516,5.5,150,20
114,0.092,0.9183891185491398,6.0,150,20
115,0.074,0.9337244965995466,6.5,150,20
116,0.058,0.945326043472463,7.0,150,20
117,0.042,0.9542605680757434,7.5,150,20
118,0.026,0.9625283371116149,8.0,150,20
119,0.0,1.0,0.0,0,40
120,0.0,1.0,0.5,0,40
121,0.0,1.0,1.0,0,40
122,0.0,1.0,1.5,0,40
123,0.0,1.0,2.0,0,40
124,0.0,1.0,2.5,0,40
125,0.0,1.0,3.0,0,40
126,0.0,1.0,3.5,0,40
127,0.0,1.0,4.0,0,40
128,0.0,1.0,4.5,0,40
129,0.0,1.0,5.0,0,40
130,0.0,1.0,5.5,0,40
131,0.0,1.0,6.0,0,40
132,0.0,1.0,6.5,0,40
133,0.0,1.0,7.0,0,40
134,0.0,1.0,7.5,0,40
135,0.0,1.0,8.0,0,40
136,0.0,1.0,0.0,25,40
137,0.046,0.7929057207627683,0.5,25,40
138,1.0,0.00013335111348179759,1.0,25,40
139,0.644,0.2607014268569143,1.5,25,40
140,0.084,0.7909054540605414,2.0,25,40
141,0.016,0.9411921589545272,2.5,25,40
142,0.006,0.9799973329777304,3.0,25,40
143,0.002,0.9903987198293106,3.5,25,40
144,0.0,0.9962661688225096,4.0,25,40
145,0.0,0.9975996799573277,4.5,25,40
146,0.0,0.9989331910921456,5.0,25,40
147,0.0,0.999333244432591,5.5,25,40
148,0.0,0.9994665955460728,6.0,25,40
149,0.0,0.9994665955460728,6.5,25,40
150,0.0,0.9995999466595547,7.0,25,40
151,0.0,0.9997332977730364,7.5,25,40
152,0.0,0.9998666488865182,8.0,25,40
153,0.0,1.0,0.0,50,40
154,0.344,0.5674089878650487,0.5,50,40
155,1.0,0.000933457794372583,1.0,50,40
156,0.928,0.14375250033337778,1.5,50,40
157,0.414,0.5664755300706761,2.0,50,40
158,0.126,0.820776103480464,2.5,50,40
159,0.06,0.9191892252300307,3.0,50,40
160,0.02,0.9598613148419789,3.5,50,40
161,0.008,0.9774636618215762,4.0,50,40
162,0.004,0.9871982931057475,4.5,50,40
163,0.0,0.9925323376450194,5.0,50,40
164,0.0,0.9947993065742099,5.5,50,40
165,0.0,0.9967995732764369,6.0,50,40
166,0.0,0.997999733297773,6.5,50,40
167,0.0,0.9986664888651821,7.0,50,40
168,0.0,0.9990665422056274,7.5,50,40
169,0.0,0.9991998933191092,8.0,50,40
170,0.0,1.0,0.0,75,40
171,0.396,0.5918122416322177,0.5,75,40
172,0.998,0.0030670756100813442,1.0,75,40
173,0.948,0.18282437658354447,1.5,75,40
174,0.59,0.6052807040938791,2.0,75,40
175,0.248,0.83531137484998,2.5,75,40
176,0.11,0.9258567809041206,3.0,75,40
177,0.048,0.9606614215228697,3.5,75,40
178,0.026,0.9786638218429123,4.0,75,40
179,0.012,0.9890652086944925,4.5,75,40
180,0.006,0.9925323376450194,5.0,75,40
181,0.002,0.9950660088011735,5.5,75,40
182,0.0,0.9970662755034004,6.0,75,40
183,0.0,0.9982664355247366,6.5,75,40
184,0.0,0.9987998399786638,7.0,75,40
185,0.0,0.9990665422056274,7.5,75,40
186,0.0,0.9991998933191092,8.0,75,40
187,0.0,1.0,0.0,100,40
188,0.436,0.583011068142419,0.5,100,40
189,0.996,0.012268302440325377,1.0,100,40
190,0.966,0.19749299906654222,1.5,100,40
191,0.702,0.603413788505134,2.0,100,40
192,0.392,0.831977597012935,2.5,100,40
193,0.18,0.9238565142018936,3.0,100,40
194,0.082,0.9613281770902787,3.5,100,40
195,0.048,0.9779970662755034,4.0,100,40
196,0.024,0.9866648886518202,4.5,100,40
197,0.018,0.9915988798506468,5.0,100,40
198,0.012,0.9946659554607281,5.5,100,40
199,0.01,0.9961328177090278,6.0,100,40
200,0.004,0.9974663288438459,6.5,100,40
201,0.0,0.9983997866382184,7.0,100,40
202,0.0,0.9987998399786638,7.5,100,40
203,0.0,0.9990665422056274,8.0,100,40
204,0.0,1.0,0.0,125,40
205,0.452,0.5748766502200293,0.5,125,40
206,0.998,0.0165355380717429,1.0,125,40
207,0.99,0.20416055474063208,1.5,125,40
208,0.766,0.6006134151220163,2.0,125,40
209,0.462,0.8187758367782371,2.5,125,40
210,0.232,0.9206560874783305,3.0,125,40
211,0.11,0.9609281237498333,3.5,125,40
212,0.048,0.9798639818642486,4.0,125,40
213,0.03,0.987464995332711,4.5,125,40
214,0.014,0.9918655820776103,5.0,125,40
215,0.012,0.9954660621416189,5.5,125,40
216,0.006,0.9966662221629551,6.0,125,40
217,0.006,0.9974663288438459,6.5,125,40
218,0.0,0.9983997866382184,7.0,125,40
219,0.0,0.9986664888651821,7.5,125,40
220,0.0,0.9990665422056274,8.0,125,40
221,0.0,1.0,0.0,150,40
222,0.404,0.5916788905187358,0.5,150,40
223,0.998,0.027203627150286704,1.0,150,40
224,0.976,0.2260301373516469,1.5,150,40
225,0.786,0.6131484197893052,2.0,150,40
226,0.484,0.8371782904387252,2.5,150,40
227,0.248,0.9283904520602747,3.0,150,40
228,0.138,0.9634617949059875,3.5,150,40
229,0.064,0.9813308441125483,4.0,150,40
230,0.028,0.9898653153753834,4.5,150,40
231,0.014,0.9933324443259102,5.0,150,40
232,0.006,0.9965328710494733,5.5,150,40
233,0.002,0.9974663288438459,6.0,150,40
234,0.002,0.9983997866382184,6.5,150,40
235,0.002,0.9989331910921456,7.0,150,40
236,0.0,0.9990665422056274,7.5,150,40
237,0.0,0.9991998933191092,8.0,150,40
238,0.0,1.0,0.0,0,60
239,0.0,1.0,0.5,0,60
240,0.0,1.0,1.0,0,60
241,0.0,1.0,1.5,0,60
242,0.0,1.0,2.0,0,60
243,0.0,1.0,2.5,0,60
244,0.0,1.0,3.0,0,60
245,0.0,1.0,3.5,0,60
246,0.0,1.0,4.0,0,60
247,0.0,1.0,4.5,0,60
248,0.0,1.0,5.0,0,60
249,0.0,1.0,5.5,0,60
250,0.0,1.0,6.0,0,60
251,0.0,1.0,6.5,0,60
252,0.0,1.0,7.0,0,60
253,0.0,1.0,7.5,0,60
254,0.0,1.0,8.0,0,60
255,0.0,1.0,0.0,25,60
256,0.002,0.9857314308574476,0.5,25,60
257,1.0,0.00026670222696359517,1.0,25,60
258,0.226,0.7308974529937325,1.5,25,60
259,0.002,0.984797973063075,2.0,25,60
260,0.0,0.9989331910921456,2.5,25,60
261,0.0,0.9998666488865182,3.0,25,60
262,0.0,0.9998666488865182,3.5,25,60
263,0.0,0.9998666488865182,4.0,25,60
264,0.0,0.9998666488865182,4.5,25,60
265,0.0,0.9998666488865182,5.0,25,60
266,0.0,0.9998666488865182,5.5,25,60
267,0.0,0.9998666488865182,6.0,25,60
268,0.0,0.9998666488865182,6.5,25,60
269,0.0,0.9998666488865182,7.0,25,60
270,0.0,0.9998666488865182,7.5,25,60
271,0.0,0.9998666488865182,8.0,25,60
272,0.0,1.0,0.0,50,60
273,0.096,0.8725163355114015,0.5,50,60
274,1.0,0.0029337244965995466,1.0,50,60
275,0.776,0.4060541405520736,1.5,50,60
276,0.172,0.8802507000933458,2.0,50,60
277,0.026,0.9707961061474863,2.5,50,60
278,0.002,0.9927990398719829,3.0,50,60
279,0.0,0.997999733297773,3.5,50,60
280,0.0,0.9991998933191092,4.0,50,60
281,0.0,0.9997332977730364,4.5,50,60
282,0.0,0.9998666488865182,5.0,50,60
283,0.0,0.9998666488865182,5.5,50,60
284,0.0,0.9998666488865182,6.0,50,60
285,0.0,0.9998666488865182,6.5,50,60
286,0.0,0.9998666488865182,7.0,50,60
287,0.0,0.9998666488865182,7.5,50,60
288,0.0,0.9998666488865182,8.0,50,60
289,0.0,1.0,0.0,75,60
290,0.238,0.814241898919856,0.5,75,60
291,0.998,0.012801706894252567,1.0,75,60
292,0.894,0.3628483797839712,1.5,75,60
293,0.366,0.8299773303107081,2.0,75,60
