,sensitivity,specificity,inv_frac,delay_samples,window_width
0,0.0,1.0,0.0,0,20
1,0.0,1.0,0.5,0,20
2,0.002,1.0,1.0,0,20
3,0.0,1.0,1.5,0,20
4,0.0,1.0,2.0,0,20
5,0.0,1.0,2.5,0,20
6,0.0,1.0,3.0,0,20
7,0.0,1.0,3.5,0,20
8,0.0,1.0,4.0,0,20
9,0.0,1.0,4.5,0,20
10,0.0,1.0,5.0,0,20
11,0.0,1.0,5.5,0,20
12,0.0,1.0,6.0,0,20
13,0.0,1.0,6.5,0,20
14,0.0,1.0,7.0,0,20
15,0.0,1.0,7.5,0,20
16,0.0,1.0,0.0,25,20
17,1.0,0.0,0.5,25,20
18,1.0,0.0,1.0,25,20
19,1.0,0.0,1.5,25,20
20,1.0,0.0,2.0,25,20
21,0.998,0.0,2.5,25,20
22,0.956,0.0,3.0,25,20
23,0.848,0.002004008016032064,3.5,25,20
24,0.674,0.026052104208416832,4.0,25,20
25,0.444,0.07014028056112225,4.5,25,20
26,0.324,0.12224448897795591,5.0,25,20
27,0.202,0.20440881763527055,5.5,25,20
28,0.132,0.2665330661322645,6.0,25,20
29,0.08,0.3366733466933868,6.5,25,20
30,0.052,0.39879759519038077,7.0,25,20
31,0.042,0.46893787575150303,7.5,25,20
32,0.0,1.0,0.0,50,20
33,1.0,0.0,0.5,50,20
34,1.0,0.0,1.0,50,20
35,1.0,0.0,1.5,50,20
36,1.0,0.0,2.0,50,20
37,0.994,0.0,2.5,50,20
38,0.942,0.0,3.0,50,20
39,0.816,0.006012024048096192,3.5,50,20
40,0.618,0.026052104208416832,4.0,50,20
41,0.416,0.06212424849699399,4.5,50,20
42,0.264,0.1402805611222445,5.0,50,20
43,0.176,0.20240480961923848,5.5,50,20
44,0.122,0.26452905811623245,6.0,50,20
45,0.076,0.3306613226452906,6.5,50,20
46,0.052,0.4188376753507014,7.0,50,20
47,0.034,0.501002004008016,7.5,50,20
48,0.0,1.0,0.0,75,20
49,1.0,0.0,0.5,75,20
50,1.0,0.0,1.0,75,20
51,1.0,0.0,1.5,75,20
52,1.0,0.0,2.0,75,20
53,0.994,0.0,2.5,75,20
54,0.94,0.002004008016032064,3.0,75,20
55,0.854,0.018036072144288578,3.5,75,20
56,0.626,0.050100200400801605,4.0,75,20
57,0.45,0.08817635270541083,4.5,75,20
58,0.282,0.14428857715430862,5.0,75,20
59,0.188,0.21643286573146292,5.5,75,20
60,0.118,0.2865731462925852,6.0,75,20
61,0.078,0.3527054108216433,6.5,75,20
62,0.052,0.40681362725450904,7.0,75,20
63,0.038,0.4749498997995992,7.5,75,20
64,0.0,1.0,0.0,100,20
65,1.0,0.0,0.5,100,20
66,1.0,0.0,1.0,100,20
67,1.0,0.0,1.5,100,20
68,1.0,0.0,2.0,100,20
69,0.998,0.0,2.5,100,20
70,0.952,0.0,3.0,100,20
71,0.832,0.01603206412825651,3.5,100,20
72,0.658,0.03807615230460922,4.0,100,20
73,0.468,0.09018036072144289,4.5,100,20
74,0.328,0.15430861723446893,5.0,100,20
75,0.224,0.218436873747495,5.5,100,20
76,0.146,0.2785571142284569,6.0,100,20
77,0.112,0.35070140280561124,6.5,100,20
78,0.08,0.4228456913827655,7.0,100,20
79,0.056,0.49298597194388777,7.5,100,20
80,0.0,1.0,0.0,125,20
81,1.0,0.0,0.5,125,20
82,1.0,0.0,1.0,125,20
83,1.0,0.0,1.5,125,20
84,1.0,0.0,2.0,125,20
85,1.0,0.0,2.5,125,20
86,0.986,0.002004008016032064,3.0,125,20
87,0.882,0.008016032064128256,3.5,125,20
88,0.734,0.03406813627254509,4.0,125,20
89,0.548,0.0781563126252505,4.5,125,20
90,0.416,0.13827655310621242,5.0,125,20
91,0.32,0.20440881763527055,5.5,125,20
92,0.224,0.25851703406813625,6.0,125,20
93,0.172,0.34468937875751504,6.5,125,20
94,0.124,0.4028056112224449,7.0,125,20
95,0.1,0.46693386773547096,7.5,125,20
96,0.0,1.0,0.0,150,20
97,1.0,0.0,0.5,150,20
98,1.0,0.0,1.0,150,20
99,1.0,0.0,1.5,150,20
100,1.0,0.0,2.0,150,20
101,0.996,0.0,2.5,150,20
102,0.964,0.0,3.0,150,20
103,0.856,0.008016032064128256,3.5,150,20
104,0.718,0.03206412825651302,4.0,150,20
105,0.542,0.06613226452905811,4.5,150,20
106,0.386,0.11823647294589178,5.0,150,20
107,0.234,0.20841683366733466,5.5,150,20
108,0.17,0.26452905811623245,6.0,150,20
109,0.13,0.3346693386773547,6.5,150,20
110,0.096,0.39879759519038077,7.0,150,20
111,0.08,0.47695390781563124,7.5,150,20
112,0.0,1.0,0.0,0,40
113,0.0,1.0,0.5,0,40
114,0.0,1.0,1.0,0,40
115,0.0,1.0,1.5,0,40
116,0.0,1.0,2.0,0,40
117,0.0,1.0,2.5,0,40
118,0.0,1.0,3.0,0,40
119,0.0,1.0,3.5,0,40
120,0.0,1.0,4.0,0,40
121,0.0,1.0,4.5,0,40
122,0.0,1.0,5.0,0,40
123,0.0,1.0,5.5,0,40
124,0.0,1.0,6.0,0,40
125,0.0,1.0,6.5,0,40
126,0.0,1.0,7.0,0,40
127,0.0,1.0,7.5,0,40
128,0.0,1.0,0.0,25,40
129,0.632,0.07414829659318638,0.5,25,40
130,1.0,0.0,1.0,25,40
131,1.0,0.0,1.5,25,40
132,0.66,0.06012024048096192,2.0,25,40
133,0.156,0.45090180360721444,2.5,25,40
134,0.03,0.7575150300601202,3.0,25,40
135,0.012,0.8717434869739479,3.5,25,40
136,0.002,0.9458917835671342,4.0,25,40
137,0.002,0.9659318637274549,4.5,25,40
138,0.002,0.9859719438877755,5.0,25,40
139,0.002,0.9919839679358717,5.5,25,40
140,0.002,0.9939879759519038,6.0,25,40
141,0.002,0.9939879759519038,6.5,25,40
142,0.002,0.9959919839679359,7.0,25,40
143,0.002,0.9979959919839679,7.5,25,40
144,0.0,1.0,0.0,50,40
145,0.968,0.002004008016032064,0.5,50,40
146,1.0,0.0,1.0,50,40
147,1.0,0.0,1.5,50,40
148,0.976,0.002004008016032064,2.0,50,40
149,0.616,0.1062124248496994,2.5,50,40
150,0.302,0.37074148296593185,3.0,50,40
151,0.108,0.5831663326653307,3.5,50,40
152,0.05,0.7394789579158316,4.0,50,40
153,0.022,0.843687374749499,4.5,50,40
154,0.004,0.8997995991983968,5.0,50,40
155,0.002,0.9278557114228457,5.5,50,40
156,0.002,0.9539078156312625,6.0,50,40
157,0.002,0.9719438877755511,6.5,50,40
158,0.002,0.9819639278557114,7.0,50,40
159,0.002,0.9879759519038076,7.5,50,40
160,0.0,1.0,0.0,75,40
161,0.964,0.0,0.5,75,40
162,1.0,0.0,1.0,75,40
163,1.0,0.0,1.5,75,40
164,0.974,0.01002004008016032,2.0,75,40
165,0.654,0.11823647294589178,2.5,75,40
166,0.322,0.3907815631262525,3.0,75,40
167,0.134,0.6032064128256514,3.5,75,40
168,0.054,0.7474949899799599,4.0,75,40
169,0.024,0.8577154308617234,4.5,75,40
170,0.014,0.9038076152304609,5.0,75,40
171,0.004,0.9298597194388778,5.5,75,40
172,0.002,0.9579158316633266,6.0,75,40
173,0.002,0.9759519038076152,6.5,75,40
174,0.002,0.9839679358717435,7.0,75,40
175,0.002,0.9879759519038076,7.5,75,40
176,0.0,1.0,0.0,100,40
177,0.974,0.004008016032064128,0.5,100,40
178,1.0,0.0,1.0,100,40
179,1.0,0.0,1.5,100,40
180,0.984,0.0,2.0,100,40
181,0.704,0.13627254509018036,2.5,100,40
182,0.342,0.3627254509018036,3.0,100,40
183,0.172,0.6052104208416834,3.5,100,40
184,0.086,0.7535070140280561,4.0,100,40
185,0.042,0.8356713426853707,4.5,100,40
186,0.03,0.8937875751503006,5.0,100,40
187,0.022,0.9298597194388778,5.5,100,40
188,0.018,0.9498997995991983,6.0,100,40
189,0.006,0.9639278557114228,6.5,100,40
190,0.002,0.9779559118236473,7.0,100,40
191,0.002,0.9839679358717435,7.5,100,40
192,0.0,1.0,0.0,125,40
193,0.968,0.0,0.5,125,40
194,1.0,0.0,1.0,125,40
195,1.0,0.0,1.5,125,40
196,0.986,0.0,2.0,125,40
197,0.758,0.10020040080160321,2.5,125,40
198,0.398,0.3787575150300601,3.0,125,40
199,0.182,0.6032064128256514,3.5,125,40
200,0.074,0.7595190380761523,4.0,125,40
201,0.05,0.8416833667334669,4.5,125,40
202,0.024,0.8917835671342685,5.0,125,40
203,0.018,0.9398797595190381,5.5,125,40
204,0.008,0.9519038076152304,6.0,125,40
205,0.008,0.9639278557114228,6.5,125,40
206,0.002,0.9779559118236473,7.0,125,40
207,0.002,0.9819639278557114,7.5,125,40
208,0.0,1.0,0.0,150,40
209,0.964,0.002004008016032064,0.5,150,40
210,1.0,0.0,1.0,150,40
211,1.0,0.0,1.5,150,40
212,0.986,0.004008016032064128,2.0,150,40
213,0.744,0.1062124248496994,2.5,150,40
214,0.366,0.3867735470941884,3.0,150,40
215,0.192,0.593186372745491,3.5,150,40
216,0.084,0.7715430861723447,4.0,150,40
217,0.036,0.8697394789579158,4.5,150,40
218,0.018,0.9078156312625251,5.0,150,40
219,0.008,0.9498997995991983,5.5,150,40
220,0.004,0.9639278557114228,6.0,150,40
221,0.004,0.9779559118236473,6.5,150,40
222,0.004,0.9859719438877755,7.0,150,40
223,0.002,0.9879759519038076,7.5,150,40
224,0.0,1.0,0.0,0,60
225,0.0,1.0,0.5,0,60
226,0.0,1.0,1.0,0,60
227,0.0,1.0,1.5,0,60
228,0.0,1.0,2.0,0,60
229,0.0,1.0,2.5,0,60
230,0.0,1.0,3.0,0,60
231,0.0,1.0,3.5,0,60
232,0.0,1.0,4.0,0,60
233,0.0,1.0,4.5,0,60
234,0.0,1.0,5.0,0,60
235,0.0,1.0,5.5,0,60
236,0.0,1.0,6.0,0,60
237,0.0,1.0,6.5,0,60
238,0.0,1.0,7.0,0,60
239,0.0,1.0,7.5,0,60
240,0.0,1.0,0.0,25,60
241,0.018,0.8256513026052105,0.5,25,60
242,1.0,0.0,1.0,25,60
243,0.796,0.02004008016032064,1.5,25,60
244,0.024,0.8156312625250501,2.0,25,60
245,0.002,0.9859719438877755,2.5,25,60
246,0.002,1.0,3.0,25,60
247,0.002,1.0,3.5,25,60
248,0.002,1.0,4.0,25,60
249,0.002,1.0,4.5,25,60
250,0.002,1.0,5.0,25,60
251,0.002,1.0,5.5,25,60
252,0.002,1.0,6.0,25,60
253,0.002,1.0,6.5,25,60
254,0.002,1.0,7.0,25,60
255,0.002,1.0,7.5,25,60
256,0.0,1.0,0.0,50,60
257,0.476,0.22645290581162325,0.5,50,60
258,1.0,0.0,1.0,50,60
259,1.0,0.0,1.5,50,60
260,0.506,0.23246492985971945,2.0,50,60
261,0.088,0.6973947895791583,2.5,50,60
262,0.01,0.9078156312625251,3.0,50,60
263,0.002,0.9719438877755511,3.5,50,60
264,0.002,0.9899799599198397,4.0,50,60
265,0.002,0.9979959919839679,4.5,50,60
266,0.002,1.0,5.0,50,60
267,0.002,1.0,5.5,50,60
268,0.002,1.0,6.0,50,60
269,0.002,1.0,6.5,50,60
270,0.002,1.0,7.0,50,60
271,0.002,1.0,7.5,50,60
272,0.0,1.0,0.0,75,60
273,0.726,0.11623246492985972,0.5,75,60
274,1.0,0.0,1.0,75,60
275,1.0,0.0,1.5,75,60
276,0.734,0.11222444889779559,2.0,75,60
277,0.224,0.5751503006012024,2.5,75,60
278,0.054,0.8176352705410822,3.0,75,60
279,0.016,0.9318637274549099,3.5,75,60
280,0.006,0.9799599198396793,4.0,75,60
281,0.004,0.9899799599198397,4.5,75,60
282,0.002,0.9939879759519038,5.0,75,60
283,0.002,1.0,5.5,75,60
284,0.002,1.0,6.0,75,60
285,0.002,1.0,6.5,75,60
286,0.002,1.0,7.0,75,60
287,0.002,1.0,7.5,75,60
288,0.0,1.0,0.0,100,60
289,0.712,0.1282565130260521,0.5,100,60
290,1.0,0.0,1.0,100,60
291,0.996,0.0,1.5,100,60
292,0.796,0.1402805611222445,2.0,100,60
293,0.316,0.5651302605210421,2.5,100,60
294,0.092,0.8376753507014028,3.0,100,60
295,0.028,0.9278557114228457,3.5,100,60
296,0.008,0.9619238476953907,4.0,100,60
297,0.004,0.9879759519038076,4.5,100,60
298,0.004,0.9959919839679359,5.0,100,60
299,0.002,0.9979959919839679,5.5,100,60
300,0.002,1.0,6.0,100,60
301,0.002,1.0,6.5,100,60
302,0.002,1.0,7.0,100,60
303,0.002,1.0,7.5,100,60
304,0.0,1.0,0.0,125,60
305,0.728,0.09218436873747494,0.5,125,60
306,1.0,0.0,1.0,125,60
307,1.0,0.0,1.5,125,60
308,0.862,0.10020040080160321,2.0,125,60
309,0.31,0.5831663326653307,2.5,125,60
310,0.122,0.8356713426853707,3.0,125,60
