,sensitivity,specificity,inv_frac,delay_samples,decay_part
0,0.0,1.0,0.0,0,20
1,0.0,1.0,0.5,0,20
2,0.0,1.0,1.0,0,20
3,0.0,1.0,1.5,0,20
4,0.0,1.0,2.0,0,20
5,0.0,1.0,2.5,0,20
6,0.0,1.0,3.0,0,20
7,0.0,1.0,3.5,0,20
8,0.0,1.0,4.0,0,20
9,0.0,1.0,4.5,0,20
10,0.0,1.0,5.0,0,20
11,0.0,1.0,5.5,0,20
12,0.0,1.0,6.0,0,20
13,0.0,1.0,6.5,0,20
14,0.0,1.0,7.0,0,20
15,0.0,1.0,7.5,0,20
16,0.0,1.0,8.0,0,20
17,0.0,1.0,0.0,25,20
18,1.0,0.0,0.5,25,20
19,1.0,0.0,1.0,25,20
20,1.0,0.0,1.5,25,20
21,1.0,0.0,2.0,25,20
22,1.0,0.0,2.5,25,20
23,1.0,0.0,3.0,25,20
24,0.994,0.0,3.5,25,20
25,0.958,0.002004008016032064,4.0,25,20
26,0.888,0.012024048096192385,4.5,25,20
27,0.798,0.028056112224448898,5.0,25,20
28,0.662,0.07414829659318638,5.5,25,20
29,0.528,0.11222444889779559,6.0,25,20
30,0.428,0.18036072144288579,6.5,25,20
31,0.34,0.21442885771543085,7.0,25,20
32,0.274,0.2625250501002004,7.5,25,20
33,0.212,0.3166332665330661,8.0,25,20
34,0.0,1.0,0.0,50,20
35,1.0,0.0,0.5,50,20
36,1.0,0.0,1.0,50,20
37,1.0,0.0,1.5,50,20
38,1.0,0.0,2.0,50,20
39,1.0,0.0,2.5,50,20
40,1.0,0.0,3.0,50,20
41,1.0,0.0,3.5,50,20
42,0.996,0.0,4.0,50,20
43,0.978,0.012024048096192385,4.5,50,20
44,0.926,0.04008016032064128,5.0,50,20
45,0.862,0.07014028056112225,5.5,50,20
46,0.774,0.11422845691382766,6.0,50,20
47,0.682,0.15430861723446893,6.5,50,20
48,0.58,0.20040080160320642,7.0,50,20
49,0.484,0.2665330661322645,7.5,50,20
50,0.41,0.32064128256513025,8.0,50,20
51,0.0,1.0,0.0,75,20
52,1.0,0.0,0.5,75,20
53,1.0,0.0,1.0,75,20
54,1.0,0.0,1.5,75,20
55,1.0,0.0,2.0,75,20
56,1.0,0.0,2.5,75,20
57,1.0,0.0,3.0,75,20
58,1.0,0.002004008016032064,3.5,75,20
59,0.996,0.006012024048096192,4.0,75,20
60,0.98,0.02004008016032064,4.5,75,20
61,0.956,0.04809619238476954,5.0,75,20
62,0.932,0.08817635270541083,5.5,75,20
63,0.898,0.1282565130260521,6.0,75,20
64,0.84,0.1683366733466934,6.5,75,20
65,0.778,0.218436873747495,7.0,75,20
66,0.728,0.26452905811623245,7.5,75,20
67,0.646,0.30861723446893785,8.0,75,20
68,0.0,1.0,0.0,100,20
69,1.0,0.0,0.5,100,20
70,1.0,0.0,1.0,100,20
71,1.0,0.0,1.5,100,20
72,1.0,0.0,2.0,100,20
73,1.0,0.0,2.5,100,20
74,1.0,0.0,3.0,100,20
75,1.0,0.0,3.5,100,20
76,1.0,0.004008016032064128,4.0,100,20
77,1.0,0.022044088176352707,4.5,100,20
78,0.994,0.04809619238476954,5.0,100,20
79,0.988,0.08016032064128256,5.5,100,20
80,0.97,0.1342685370741483,6.0,100,20
81,0.938,0.1743486973947896,6.5,100,20
82,0.908,0.21042084168336672,7.0,100,20
83,0.866,0.280561122244489,7.5,100,20
84,0.836,0.31462925851703405,8.0,100,20
85,0.0,1.0,0.0,125,20
86,1.0,0.0,0.5,125,20
87,1.0,0.0,1.0,125,20
88,1.0,0.0,1.5,125,20
89,1.0,0.0,2.0,125,20
90,1.0,0.0,2.5,125,20
91,1.0,0.0,3.0,125,20
92,1.0,0.006012024048096192,3.5,125,20
93,1.0,0.026052104208416832,4.0,125,20
94,0.996,0.06212424849699399,4.5,125,20
95,0.992,0.1062124248496994,5.0,125,20
96,0.986,0.1523046092184369,5.5,125,20
97,0.974,0.21042084168336672,6.0,125,20
98,0.95,0.26452905811623245,6.5,125,20
99,0.916,0.3306613226452906,7.0,125,20
100,0.9,0.3907815631262525,7.5,125,20
101,0.868,0.4408817635270541,8.0,125,20
102,0.0,1.0,0.0,150,20
103,1.0,0.0,0.5,150,20
104,1.0,0.0,1.0,150,20
105,1.0,0.0,1.5,150,20
106,1.0,0.0,2.0,150,20
107,1.0,0.0,2.5,150,20
108,1.0,0.0,3.0,150,20
109,1.0,0.0,3.5,150,20
110,1.0,0.006012024048096192,4.0,150,20
111,1.0,0.022044088176352707,4.5,150,20
112,0.998,0.04208416833667335,5.0,150,20
113,0.996,0.06813627254509018,5.5,150,20
114,0.99,0.12024048096192384,6.0,150,20
115,0.98,0.15831663326653306,6.5,150,20
116,0.972,0.20641282565130262,7.0,150,20
117,0.96,0.2605210420841683,7.5,150,20
118,0.938,0.312625250501002,8.0,150,20
119,0.0,1.0,0.0,0,40
120,0.0,1.0,0.5,0,40
121,0.0,1.0,1.0,0,40
122,0.0,1.0,1.5,0,40
123,0.0,1.0,2.0,0,40
124,0.0,1.0,2.5,0,40
125,0.0,1.0,3.0,0,40
126,0.0,1.0,3.5,0,40
127,0.0,1.0,4.0,0,40
128,0.0,1.0,4.5,0,40
129,0.0,1.0,5.0,0,40
130,0.0,1.0,5.5,0,40
131,0.0,1.0,6.0,0,40
132,0.0,1.0,6.5,0,40
133,0.0,1.0,7.0,0,40
134,0.0,1.0,7.5,0,40
135,0.0,1.0,8.0,0,40
136,0.0,1.0,0.0,25,40
137,1.0,0.0,0.5,25,40
138,1.0,0.0,1.0,25,40
139,1.0,0.0,1.5,25,40
140,1.0,0.0,2.0,25,40
141,1.0,0.0,2.5,25,40
142,1.0,0.0,3.0,25,40
143,0.994,0.0,3.5,25,40
144,0.958,0.002004008016032064,4.0,25,40
145,0.888,0.012024048096192385,4.5,25,40
146,0.794,0.028056112224448898,5.0,25,40
147,0.66,0.07414829659318638,5.5,25,40
148,0.52,0.11623246492985972,6.0,25,40
149,0.428,0.18036072144288579,6.5,25,40
150,0.338,0.22244488977955912,7.0,25,40
151,0.272,0.2665330661322645,7.5,25,40
152,0.212,0.3186372745490982,8.0,25,40
153,0.0,1.0,0.0,50,40
154,1.0,0.0,0.5,50,40
155,1.0,0.0,1.0,50,40
156,1.0,0.0,1.5,50,40
157,1.0,0.0,2.0,50,40
158,1.0,0.0,2.5,50,40
159,1.0,0.0,3.0,50,40
160,1.0,0.0,3.5,50,40
161,0.996,0.0,4.0,50,40
162,0.978,0.012024048096192385,4.5,50,40
163,0.924,0.04008016032064128,5.0,50,40
164,0.86,0.07214428857715431,5.5,50,40
165,0.772,0.11623246492985972,6.0,50,40
166,0.68,0.156312625250501,6.5,50,40
167,0.58,0.20440881763527055,7.0,50,40
168,0.482,0.2665330661322645,7.5,50,40
169,0.406,0.32665330661322645,8.0,50,40
170,0.0,1.0,0.0,75,40
171,1.0,0.0,0.5,75,40
172,1.0,0.0,1.0,75,40
173,1.0,0.0,1.5,75,40
174,1.0,0.0,2.0,75,40
175,1.0,0.0,2.5,75,40
176,1.0,0.0,3.0,75,40
177,1.0,0.002004008016032064,3.5,75,40
178,0.996,0.006012024048096192,4.0,75,40
179,0.98,0.02004008016032064,4.5,75,40
180,0.956,0.04809619238476954,5.0,75,40
181,0.932,0.09418837675350701,5.5,75,40
182,0.898,0.13026052104208416,6.0,75,40
183,0.84,0.1683366733466934,6.5,75,40
184,0.778,0.22044088176352705,7.0,75,40
185,0.728,0.2665330661322645,7.5,75,40
186,0.644,0.312625250501002,8.0,75,40
187,0.0,1.0,0.0,100,40
188,1.0,0.0,0.5,100,40
189,1.0,0.0,1.0,100,40
190,1.0,0.0,1.5,100,40
191,1.0,0.0,2.0,100,40
192,1.0,0.0,2.5,100,40
193,1.0,0.0,3.0,100,40
194,1.0,0.0,3.5,100,40
195,1.0,0.004008016032064128,4.0,100,40
196,1.0,0.022044088176352707,4.5,100,40
197,0.994,0.04809619238476954,5.0,100,40
198,0.988,0.0841683366733467,5.5,100,40
199,0.97,0.1342685370741483,6.0,100,40
200,0.938,0.17635270541082165,6.5,100,40
201,0.906,0.21643286573146292,7.0,100,40
202,0.866,0.2845691382765531,7.5,100,40
203,0.836,0.3226452905811623,8.0,100,40
204,0.0,1.0,0.0,125,40
205,1.0,0.0,0.5,125,40
206,1.0,0.0,1.0,125,40
207,1.0,0.0,1.5,125,40
208,1.0,0.0,2.0,125,40
209,1.0,0.0,2.5,125,40
210,1.0,0.0,3.0,125,40
211,1.0,0.006012024048096192,3.5,125,40
212,1.0,0.026052104208416832,4.0,125,40
213,0.996,0.06412825651302605,4.5,125,40
214,0.992,0.11222444889779559,5.0,125,40
215,0.986,0.16032064128256512,5.5,125,40
216,0.974,0.21643286573146292,6.0,125,40
217,0.948,0.2665330661322645,6.5,125,40
218,0.916,0.3366733466933868,7.0,125,40
219,0.9,0.39879759519038077,7.5,125,40
220,0.868,0.44488977955911824,8.0,125,40
221,0.0,1.0,0.0,150,40
222,1.0,0.0,0.5,150,40
223,1.0,0.0,1.0,150,40
224,1.0,0.0,1.5,150,40
225,1.0,0.0,2.0,150,40
226,1.0,0.0,2.5,150,40
227,1.0,0.0,3.0,150,40
228,1.0,0.0,3.5,150,40
229,1.0,0.006012024048096192,4.0,150,40
230,1.0,0.022044088176352707,4.5,150,40
231,0.998,0.04408817635270541,5.0,150,40
232,0.994,0.07214428857715431,5.5,150,40
233,0.99,0.12224448897795591,6.0,150,40
234,0.98,0.1623246492985972,6.5,150,40
235,0.972,0.21042084168336672,7.0,150,40
236,0.96,0.26452905811623245,7.5,150,40
237,0.938,0.3166332665330661,8.0,150,40
238,0.0,1.0,0.0,0,60
239,0.0,1.0,0.5,0,60
240,0.0,1.0,1.0,0,60
241,0.0,1.0,1.5,0,60
242,0.0,1.0,2.0,0,60
243,0.0,1.0,2.5,0,60
244,0.0,1.0,3.0,0,60
245,0.0,1.0,3.5,0,60
246,0.0,1.0,4.0,0,60
247,0.0,1.0,4.5,0,60
248,0.0,1.0,5.0,0,60
249,0.0,1.0,5.5,0,60
250,0.0,1.0,6.0,0,60
251,0.0,1.0,6.5,0,60
252,0.0,1.0,7.0,0,60
253,0.0,1.0,7.5,0,60
254,0.0,1.0,8.0,0,60
255,0.0,1.0,0.0,25,60
256,1.0,0.0,0.5,25,60
257,1.0,0.0,1.0,25,60
258,1.0,0.0,1.5,25,60
259,1.0,0.0,2.0,25,60
260,1.0,0.0,2.5,25,60
261,1.0,0.0,3.0,25,60
262,0.994,0.0,3.5,25,60
263,0.956,0.002004008016032064,4.0,25,60
264,0.884,0.012024048096192385,4.5,25,60
265,0.79,0.028056112224448898,5.0,25,60
266,0.658,0.0781563126252505,5.5,25,60
267,0.52,0.11623246492985972,6.0,25,60
268,0.424,0.18236472945891782,6.5,25,60
269,0.336,0.22244488977955912,7.0,25,60
270,0.268,0.27054108216432865,7.5,25,60
271,0.212,0.32064128256513025,8.0,25,60
272,0.0,1.0,0.0,50,60
273,1.0,0.0,0.5,50,60
274,1.0,0.0,1.0,50,60
275,1.0,0.0,1.5,50,60
276,1.0,0.0,2.0,50,60
277,1.0,0.0,2.5,50,60
278,1.0,0.0,3.0,50,60
279,1.0,0.0,3.5,50,60
280,0.996,0.0,4.0,50,60
281,0.978,0.012024048096192385,4.5,50,60
282,0.924,0.04208416833667335,5.0,50,60
283,0.86,0.07414829659318638,5.5,50,60
284,0.77,0.11623246492985972,6.0,50,60
285,0.678,0.156312625250501,6.5,50,60
286,0.58,0.21042084168336672,7.0,50,60
287,0.482,0.2685370741482966,7.5,50,60
288,0.406,0.33266533066132264,8.0,50,60
289,0.0,1.0,0.0,75,60
290,1.0,0.0,0.5,75,60
291,1.0,0.0,1.0,75,60
292,1.0,0.0,1.5,75,60
293,1.0,0.0,2.0,75,60
294,1.0,0.0,2.5,75,60
295,1.0,0.0,3.0,75,60
296,1.0,0.002004008016032064,3.5,75,60
297,0.996,0.006012024048096192,4.0,75,60
298,0.98,0.02004008016032064,4.5,75,60
299,0.956,0.04809619238476954,5.0,75,60
300,0.932,0.09418837675350701,5.5,75,60
301,0.898,0.13226452905811623,6.0,75,60
302,0.84,0.1683366733466934,6.5,75,60
303,0.776,0.22044088176352705,7.0,75,60
304,0.728,0.2725450901803607,7.5,75,60
305,0.642,0.3166332665330661,8.0,75,60
306,0.0,1.0,0.0,100,60
307,1.0,0.0,0.5,100,60
308,1.0,0.0,1.0,100,60
309,1.0,0.0,1.5,100,60
310,1.0,0.0,2.0,100,60
311,1.0,0.0,2.5,100,60
312,1.0,0.0,3.0,100,60
313,1.0,0.0,3.5,100,60
314,1.0,0.004008016032064128,4.0,100,60
315,1.0,0.02404809619238477,4.5,100,60
316,0.994,0.04809619238476954,5.0,100,60
