,sensitivity,specificity,inv_frac,delay_samples,decay_part
0,0.0,1.0,0.0,0,900
1,0.0,1.0,0.5,0,900
2,0.0,1.0,1.0,0,900
3,0.0,1.0,1.5,0,900
4,0.0,1.0,2.0,0,900
5,0.0,1.0,2.5,0,900
6,0.0,1.0,3.0,0,900
7,0.0,1.0,3.5,0,900
8,0.0,1.0,4.0,0,900
9,0.0,1.0,4.5,0,900
10,0.0,1.0,5.0,0,900
11,0.0,1.0,5.5,0,900
12,0.0,1.0,6.0,0,900
13,0.0,1.0,6.5,0,900
14,0.0,1.0,7.0,0,900
15,0.0,1.0,7.5,0,900
16,0.0,1.0,8.0,0,900
17,0.0,1.0,0.0,25,900
18,0.868,0.20989465262034937,0.5,25,900
19,1.0,0.0,1.0,25,900
20,1.0,0.017468995866115482,1.5,25,900
21,0.998,0.20656087478330443,2.0,25,900
22,0.946,0.47886384851313507,2.5,25,900
23,0.778,0.6744899319909321,3.0,25,900
24,0.57,0.791172156287505,3.5,25,900
25,0.422,0.8670489398586478,4.0,25,900
26,0.302,0.9103880517402321,4.5,25,900
27,0.234,0.9379917322309641,5.0,25,900
28,0.178,0.9574609947993066,5.5,25,900
29,0.136,0.9705294039205228,6.0,25,900
30,0.096,0.9790638751833578,6.5,25,900
31,0.066,0.9846646219495933,7.0,25,900
32,0.056,0.9877316975596746,7.5,25,900
33,0.042,0.9901320176023469,8.0,25,900
34,0.0,1.0,0.0,50,900
35,0.966,0.18882517669022536,0.5,50,900
36,1.0,0.0,1.0,50,900
37,1.0,0.013335111348179758,1.5,50,900
38,1.0,0.1869582611014802,2.0,50,900
39,1.0,0.44952660354713964,2.5,50,900
40,0.998,0.652220296039472,3.0,50,900
41,0.972,0.7730364048539805,3.5,50,900
42,0.91,0.8497132951060141,4.0,50,900
43,0.788,0.9002533671156154,4.5,50,900
44,0.638,0.9329243899186558,5.0,50,900
45,0.52,0.95252700360048,5.5,50,900
46,0.434,0.967062274969996,6.0,50,900
47,0.36,0.9759967995732765,6.5,50,900
48,0.31,0.9818642485664756,7.0,50,900
49,0.26,0.9873316442192293,7.5,50,900
50,0.204,0.991465528737165,8.0,50,900
51,0.0,1.0,0.0,75,900
52,0.974,0.17749033204427256,0.5,75,900
53,1.0,0.00026670222696359517,1.0,75,900
54,1.0,0.020669422589678625,1.5,75,900
55,1.0,0.20416055474063208,2.0,75,900
56,1.0,0.46859581277503665,2.5,75,900
57,1.0,0.6620882784371249,3.0,75,900
58,0.988,0.7910388051740233,3.5,75,900
59,0.956,0.8629150553407121,4.0,75,900
60,0.92,0.9095879450593413,4.5,75,900
61,0.88,0.93545806107481,5.0,75,900
62,0.84,0.9567942392318975,5.5,75,900
63,0.782,0.9667955727430324,6.0,75,900
64,0.708,0.9761301506867582,6.5,75,900
65,0.622,0.9823976530204027,7.0,75,900
66,0.556,0.9866648886518202,7.5,75,900
67,0.494,0.9898653153753834,8.0,75,900
68,0.0,1.0,0.0,100,900
69,0.988,0.1917589011868249,0.5,100,900
70,1.0,0.0010668089078543807,1.0,100,900
71,1.0,0.04120549406587545,1.5,100,900
72,1.0,0.2473663155087345,2.0,100,900
73,1.0,0.5166022136284838,2.5,100,900
74,1.0,0.6903587144952661,3.0,100,900
75,1.0,0.8002400320042672,3.5,100,900
76,1.0,0.865582077610348,4.0,100,900
77,0.988,0.9101213495132684,4.5,100,900
78,0.978,0.9339911988265102,5.0,100,900
79,0.948,0.9514601946926257,5.5,100,900
80,0.914,0.9639951993599146,6.0,100,900
81,0.878,0.9726630217362315,6.5,100,900
82,0.836,0.9793305774103214,7.0,100,900
83,0.792,0.9841312174956661,7.5,100,900
84,0.75,0.9879983997866382,8.0,100,900
85,0.0,1.0,0.0,125,900
86,0.99,0.23949859981330845,0.5,125,900
87,1.0,0.0050673423123083075,1.0,125,900
88,1.0,0.07494332577677024,1.5,125,900
89,1.0,0.3033737831710895,2.0,125,900
90,1.0,0.5343379117215629,2.5,125,900
91,1.0,0.700226696892919,3.0,125,900
92,1.0,0.8009067875716762,3.5,125,900
93,1.0,0.8645152687024936,4.0,125,900
94,0.994,0.9073209761301507,4.5,125,900
95,0.988,0.9358581144152553,5.0,125,900
96,0.974,0.954527270302707,5.5,125,900
97,0.946,0.9671956260834778,6.0,125,900
98,0.916,0.9746632884384585,6.5,125,900
99,0.89,0.9806640885451393,7.0,125,900
100,0.854,0.9841312174956661,7.5,125,900
101,0.81,0.9883984531270836,8.0,125,900
102,0.0,1.0,0.0,150,900
103,0.956,0.2258967862381651,0.5,150,900
104,1.0,0.003467128950526737,1.0,150,900
105,1.0,0.06427523669822643,1.5,150,900
106,1.0,0.28803840512068274,2.0,150,900
107,1.0,0.5206027470329377,2.5,150,900
108,1.0,0.6998266435524737,3.0,150,900
109,1.0,0.8031737565008668,3.5,150,900
110,1.0,0.8679823976530204,4.0,150,900
111,0.994,0.9082544339245233,4.5,150,900
112,0.988,0.9403920522736365,5.0,150,900
113,0.98,0.9574609947993066,5.5,150,900
114,0.97,0.9705294039205228,6.0,150,900
115,0.95,0.9786638218429123,6.5,150,900
116,0.934,0.9839978663821843,7.0,150,900
117,0.9,0.9881317509001201,7.5,150,900
118,0.87,0.990798773169756,8.0,150,900
119,0.0,1.0,0.0,0,905
120,0.0,1.0,0.5,0,905
121,0.0,1.0,1.0,0,905
122,0.0,1.0,1.5,0,905
123,0.0,1.0,2.0,0,905
124,0.0,1.0,2.5,0,905
125,0.0,1.0,3.0,0,905
126,0.0,1.0,3.5,0,905
127,0.0,1.0,4.0,0,905
128,0.0,1.0,4.5,0,905
129,0.0,1.0,5.0,0,905
130,0.0,1.0,5.5,0,905
131,0.0,1.0,6.0,0,905
132,0.0,1.0,6.5,0,905
133,0.0,1.0,7.0,0,905
134,0.0,1.0,7.5,0,905
135,0.0,1.0,8.0,0,905
136,0.0,1.0,0.0,25,905
137,0.858,0.22176290172022936,0.5,25,905
138,1.0,0.0,1.0,25,905
139,1.0,0.01813575143352447,1.5,25,905
140,0.996,0.22056274169889317,2.0,25,905
141,0.944,0.5000666755567409,2.5,25,905
142,0.77,0.6947593012401654,3.0,25,905
143,0.552,0.8059741298839845,3.5,25,905
144,0.406,0.8783837845046006,4.0,25,905
145,0.29,0.9210561408187758,4.5,25,905
146,0.222,0.9451926923589812,5.0,25,905
147,0.17,0.9634617949059875,5.5,25,905
148,0.128,0.9750633417789039,6.0,25,905
149,0.094,0.9821309507934392,6.5,25,905
150,0.064,0.9870649419922657,7.0,25,905
151,0.05,0.9893319109214562,7.5,25,905
152,0.038,0.9918655820776103,8.0,25,905
153,0.0,1.0,0.0,50,905
154,0.964,0.19842645686091478,0.5,50,905
155,1.0,0.00013335111348179759,1.0,50,905
156,1.0,0.014001866915588745,1.5,50,905
157,1.0,0.19615948793172422,2.0,50,905
158,1.0,0.46606214161888254,2.5,50,905
159,0.998,0.6687558341112149,3.0,50,905
160,0.972,0.7861048139751967,3.5,50,905
161,0.9,0.8623816508867849,4.0,50,905
162,0.77,0.9098546472863048,4.5,50,905
163,0.624,0.9395919455927457,5.0,50,905
164,0.51,0.9602613681824244,5.5,50,905
165,0.422,0.9706627550340046,6.0,50,905
166,0.356,0.9790638751833578,6.5,50,905
167,0.3,0.9849313241765568,7.0,50,905
168,0.252,0.989465262034938,7.5,50,905
169,0.196,0.9926656887585011,8.0,50,905
170,0.0,1.0,0.0,75,905
171,0.974,0.1868249099879984,0.5,75,905
172,1.0,0.00026670222696359517,1.0,75,905
173,1.0,0.0220029337244966,1.5,75,905
174,1.0,0.21536204827310307,2.0,75,905
175,1.0,0.48606480864115215,2.5,75,905
176,1.0,0.6790238698493133,3.0,75,905
177,0.988,0.8035738098413122,3.5,75,905
178,0.956,0.8727830377383651,4.0,75,905
179,0.92,0.9185224696626216,4.5,75,905
180,0.874,0.9421256167488998,5.0,75,905
181,0.836,0.9610614748633151,5.5,75,905
182,0.778,0.9715962128283772,6.0,75,905
183,0.7,0.978930524069876,6.5,75,905
184,0.61,0.984797973063075,7.0,75,905
185,0.546,0.9883984531270836,7.5,75,905
186,0.488,0.9911988265102014,8.0,75,905
187,0.0,1.0,0.0,100,905
188,0.988,0.20056007467662354,0.5,100,905
189,1.0,0.0010668089078543807,1.0,100,905
190,1.0,0.044139218562475,1.5,100,905
191,1.0,0.2587011601546873,2.0,100,905
192,1.0,0.528337111614882,2.5,100,905
193,1.0,0.7036938258434458,3.0,100,905
194,1.0,0.8098413121749567,3.5,100,905
195,1.0,0.8746499533271103,4.0,100,905
196,0.988,0.9173223096412855,4.5,100,905
