,sensitivity,specificity,inv_frac,delay_samples,decay_part
0,0.0,1.0,0.0,0,900
1,0.0,1.0,0.5,0,900
2,0.0,1.0,1.0,0,900
3,0.0,1.0,1.5,0,900
4,0.0,1.0,2.0,0,900
5,0.0,1.0,2.5,0,900
6,0.0,1.0,3.0,0,900
7,0.0,1.0,3.5,0,900
8,0.0,1.0,4.0,0,900
9,0.0,1.0,4.5,0,900
10,0.0,1.0,5.0,0,900
11,0.0,1.0,5.5,0,900
12,0.0,1.0,6.0,0,900
13,0.0,1.0,6.5,0,900
14,0.0,1.0,7.0,0,900
15,0.0,1.0,7.5,0,900
16,0.0,1.0,8.0,0,900
17,0.0,1.0,0.0,25,900
18,1.0,0.0,0.5,25,900
19,1.0,0.0,1.0,25,900
20,1.0,0.0,1.5,25,900
21,1.0,0.0,2.0,25,900
22,0.992,0.0,2.5,25,900
23,0.958,0.0,3.0,25,900
24,0.778,0.04208416833667335,3.5,25,900
25,0.55,0.1342685370741483,4.0,25,900
26,0.376,0.23847695390781562,4.5,25,900
27,0.27,0.37675350701402804,5.0,25,900
28,0.196,0.5290581162324649,5.5,25,900
29,0.15,0.6392785571142284,6.0,25,900
30,0.104,0.7274549098196392,6.5,25,900
31,0.068,0.8016032064128257,7.0,25,900
32,0.056,0.8336673346693386,7.5,25,900
33,0.044,0.8617234468937875,8.0,25,900
34,0.0,1.0,0.0,50,900
35,1.0,0.0,0.5,50,900
36,1.0,0.0,1.0,50,900
37,1.0,0.0,1.5,50,900
38,1.0,0.0,2.0,50,900
39,1.0,0.0,2.5,50,900
40,1.0,0.0,3.0,50,900
41,0.986,0.03206412825651302,3.5,50,900
42,0.938,0.10020040080160321,4.0,50,900
43,0.83,0.23046092184368738,4.5,50,900
44,0.678,0.40080160320641284,5.0,50,900
45,0.554,0.503006012024048,5.5,50,900
46,0.448,0.625250501002004,6.0,50,900
47,0.37,0.7114228456913828,6.5,50,900
48,0.314,0.7655310621242485,7.0,50,900
49,0.264,0.8316633266533067,7.5,50,900
50,0.204,0.8797595190380761,8.0,50,900
51,0.0,1.0,0.0,75,900
52,1.0,0.0,0.5,75,900
53,1.0,0.0,1.0,75,900
54,1.0,0.0,1.5,75,900
55,1.0,0.0,2.0,75,900
56,1.0,0.002004008016032064,2.5,75,900
57,1.0,0.01002004008016032,3.0,75,900
58,0.996,0.06212424849699399,3.5,75,900
59,0.964,0.1342685370741483,4.0,75,900
60,0.928,0.2605210420841683,4.5,75,900
61,0.886,0.3667334669338677,5.0,75,900
62,0.844,0.5190380761523046,5.5,75,900
63,0.784,0.5971943887775552,6.0,75,900
64,0.708,0.6833667334669339,6.5,75,900
65,0.622,0.7595190380761523,7.0,75,900
66,0.558,0.8196392785571143,7.5,75,900
67,0.494,0.8617234468937875,8.0,75,900
68,0.0,1.0,0.0,100,900
69,1.0,0.0,0.5,100,900
70,1.0,0.0,1.0,100,900
71,1.0,0.0,1.5,100,900
72,1.0,0.0,2.0,100,900
73,1.0,0.0,2.5,100,900
74,1.0,0.01603206412825651,3.0,100,900
75,1.0,0.052104208416833664,3.5,100,900
76,1.0,0.14228456913827656,4.0,100,900
77,0.988,0.2665330661322645,4.5,100,900
78,0.978,0.3727454909819639,5.0,100,900
79,0.948,0.49298597194388777,5.5,100,900
80,0.914,0.593186372745491,6.0,100,900
81,0.878,0.6693386773547094,6.5,100,900
82,0.836,0.7334669338677354,7.0,100,900
83,0.792,0.7895791583166333,7.5,100,900
84,0.75,0.8376753507014028,8.0,100,900
85,0.0,1.0,0.0,125,900
86,1.0,0.0,0.5,125,900
87,1.0,0.0,1.0,125,900
88,1.0,0.0,1.5,125,900
89,1.0,0.0,2.0,125,900
90,1.0,0.0,2.5,125,900
91,1.0,0.01002004008016032,3.0,125,900
92,1.0,0.04809619238476954,3.5,125,900
93,1.0,0.11222444889779559,4.0,125,900
94,0.994,0.250501002004008,4.5,125,900
95,0.988,0.36072144288577157,5.0,125,900
96,0.974,0.4909819639278557,5.5,125,900
97,0.946,0.6132264529058116,6.0,125,900
98,0.916,0.6913827655310621,6.5,125,900
99,0.89,0.7434869739478958,7.0,125,900
100,0.854,0.781563126252505,7.5,125,900
101,0.81,0.8316633266533067,8.0,125,900
102,0.0,1.0,0.0,150,900
103,1.0,0.0,0.5,150,900
104,1.0,0.0,1.0,150,900
105,1.0,0.0,1.5,150,900
106,1.0,0.0,2.0,150,900
107,1.0,0.0,2.5,150,900
108,1.0,0.006012024048096192,3.0,150,900
109,1.0,0.03406813627254509,3.5,150,900
110,1.0,0.0841683366733467,4.0,150,900
111,0.994,0.20841683366733466,4.5,150,900
112,0.988,0.37074148296593185,5.0,150,900
113,0.98,0.4969939879759519,5.5,150,900
114,0.97,0.627254509018036,6.0,150,900
115,0.95,0.7154308617234469,6.5,150,900
116,0.934,0.779559118236473,7.0,150,900
117,0.9,0.8356713426853707,7.5,150,900
118,0.87,0.87374749498998,8.0,150,900
119,0.0,1.0,0.0,0,905
120,0.0,1.0,0.5,0,905
121,0.0,1.0,1.0,0,905
122,0.0,1.0,1.5,0,905
123,0.0,1.0,2.0,0,905
124,0.0,1.0,2.5,0,905
125,0.0,1.0,3.0,0,905
126,0.0,1.0,3.5,0,905
127,0.0,1.0,4.0,0,905
128,0.0,1.0,4.5,0,905
129,0.0,1.0,5.0,0,905
130,0.0,1.0,5.5,0,905
131,0.0,1.0,6.0,0,905
132,0.0,1.0,6.5,0,905
133,0.0,1.0,7.0,0,905
134,0.0,1.0,7.5,0,905
135,0.0,1.0,8.0,0,905
136,0.0,1.0,0.0,25,905
137,1.0,0.0,0.5,25,905
138,1.0,0.0,1.0,25,905
139,1.0,0.0,1.5,25,905
140,1.0,0.0,2.0,25,905
141,0.992,0.0,2.5,25,905
142,0.944,0.004008016032064128,3.0,25,905
143,0.746,0.050100200400801605,3.5,25,905
144,0.512,0.156312625250501,4.0,25,905
145,0.348,0.2865731462925852,4.5,25,905
146,0.256,0.4348697394789579,5.0,25,905
147,0.188,0.5871743486973948,5.5,25,905
148,0.14,0.6893787575150301,6.0,25,905
149,0.1,0.7675350701402806,6.5,25,905
150,0.064,0.8256513026052105,7.0,25,905
151,0.052,0.8537074148296593,7.5,25,905
152,0.04,0.8857715430861723,8.0,25,905
153,0.0,1.0,0.0,50,905
154,1.0,0.0,0.5,50,905
155,1.0,0.0,1.0,50,905
156,1.0,0.0,1.5,50,905
157,1.0,0.0,2.0,50,905
158,1.0,0.0,2.5,50,905
159,1.0,0.002004008016032064,3.0,50,905
160,0.984,0.03206412825651302,3.5,50,905
161,0.934,0.11823647294589178,4.0,50,905
162,0.804,0.2685370741482966,4.5,50,905
163,0.66,0.44288577154308617,5.0,50,905
164,0.532,0.5731462925851704,5.5,50,905
165,0.436,0.657314629258517,6.0,50,905
166,0.364,0.7374749498997996,6.5,50,905
167,0.304,0.8056112224448898,7.0,50,905
168,0.256,0.8597194388777555,7.5,50,905
169,0.196,0.8977955911823647,8.0,50,905
170,0.0,1.0,0.0,75,905
171,1.0,0.0,0.5,75,905
172,1.0,0.0,1.0,75,905
173,1.0,0.0,1.5,75,905
174,1.0,0.0,2.0,75,905
175,1.0,0.002004008016032064,2.5,75,905
176,1.0,0.012024048096192385,3.0,75,905
177,0.996,0.07014028056112225,3.5,75,905
178,0.958,0.156312625250501,4.0,75,905
179,0.928,0.30060120240480964,4.5,75,905
180,0.88,0.40080160320641284,5.0,75,905
181,0.84,0.5591182364729459,5.5,75,905
182,0.778,0.6412825651302605,6.0,75,905
183,0.7,0.7194388777555111,6.5,75,905
184,0.61,0.7935871743486974,7.0,75,905
185,0.548,0.843687374749499,7.5,75,905
186,0.488,0.8797595190380761,8.0,75,905
187,0.0,1.0,0.0,100,905
188,1.0,0.0,0.5,100,905
189,1.0,0.0,1.0,100,905
190,1.0,0.0,1.5,100,905
191,1.0,0.0,2.0,100,905
192,1.0,0.0,2.5,100,905
193,1.0,0.018036072144288578,3.0,100,905
194,1.0,0.06212424849699399,3.5,100,905
195,1.0,0.16432865731462926,4.0,100,905
196,0.988,0.28857715430861725,4.5,100,905
197,0.976,0.41082164328657317,5.0,100,905
198,0.946,0.5290581162324649,5.5,100,905
199,0.908,0.6152304609218436,6.0,100,905
200,0.864,0.7054108216432866,6.5,100,905
201,0.83,0.7655310621242485,7.0,100,905
202,0.786,0.8176352705410822,7.5,100,905
203,0.75,0.87374749498998,8.0,100,905
204,0.0,1.0,0.0,125,905
205,1.0,0.0,0.5,125,905
206,1.0,0.0,1.0,125,905
207,1.0,0.0,1.5,125,905
208,1.0,0.0,2.0,125,905
