,sensitivity,specificity,inv_frac,delay_samples,window
0,0.0,1.0,0.0,0,0
1,0.0,1.0,0.5,0,0
2,0.0,1.0,1.0,0,0
3,0.0,1.0,1.5,0,0
4,0.0,1.0,2.0,0,0
5,0.0,1.0,2.5,0,0
6,0.0,1.0,3.0,0,0
7,0.0,1.0,3.5,0,0
8,0.0,1.0,4.0,0,0
9,0.0,1.0,4.5,0,0
10,0.0,1.0,5.0,0,0
11,0.0,1.0,5.5,0,0
12,0.0,1.0,6.0,0,0
13,0.0,1.0,6.5,0,0
14,0.0,1.0,7.0,0,0
15,0.0,1.0,7.5,0,0
16,0.0,1.0,0.0,25,0
17,0.994,0.002004008016032064,0.5,25,0
18,1.0,0.0,1.0,25,0
19,1.0,0.0,1.5,25,0
20,1.0,0.0,2.0,25,0
21,0.872,0.05811623246492986,2.5,25,0
22,0.566,0.3306613226452906,3.0,25,0
23,0.318,0.6112224448897795,3.5,25,0
24,0.224,0.7915831663326653,4.0,25,0
25,0.146,0.87374749498998,4.5,25,0
26,0.084,0.9318637274549099,5.0,25,0
27,0.054,0.9519038076152304,5.5,25,0
28,0.036,0.9759519038076152,6.0,25,0
29,0.028,0.9839679358717435,6.5,25,0
30,0.018,0.9899799599198397,7.0,25,0
31,0.008,0.9979959919839679,7.5,25,0
32,0.0,1.0,0.0,50,0
33,1.0,0.0,0.5,50,0
34,1.0,0.0,1.0,50,0
35,1.0,0.0,1.5,50,0
36,1.0,0.0,2.0,50,0
37,1.0,0.014028056112224449,2.5,50,0
38,0.99,0.17034068136272545,3.0,50,0
39,0.93,0.4789579158316633,3.5,50,0
40,0.762,0.6773547094188377,4.0,50,0
41,0.55,0.8076152304609219,4.5,50,0
42,0.4,0.8837675350701403,5.0,50,0
43,0.31,0.9298597194388778,5.5,50,0
44,0.246,0.9579158316633266,6.0,50,0
45,0.174,0.9739478957915831,6.5,50,0
46,0.112,0.9819639278557114,7.0,50,0
47,0.08,0.9879759519038076,7.5,50,0
48,0.0,1.0,0.0,75,0
49,1.0,0.0,0.5,75,0
50,1.0,0.0,1.0,75,0
51,1.0,0.0,1.5,75,0
52,1.0,0.0,2.0,75,0
53,1.0,0.03006012024048096,2.5,75,0
54,0.996,0.18837675350701402,3.0,75,0
55,0.956,0.45691382765531063,3.5,75,0
56,0.91,0.6813627254509018,4.0,75,0
57,0.856,0.7915831663326653,4.5,75,0
58,0.802,0.8777555110220441,5.0,75,0
59,0.72,0.9258517034068137,5.5,75,0
