,sensitivity,specificity,inv_frac,delay_samples,window_width
0,0.0,1.0,0.0,0,20
1,0.0,1.0,0.5,0,20
2,0.0,1.0,1.0,0,20
3,0.0,1.0,1.5,0,20
4,0.0,1.0,2.0,0,20
5,0.0,1.0,2.5,0,20
6,0.0,1.0,3.0,0,20
7,0.0,1.0,3.5,0,20
8,0.0,1.0,4.0,0,20
9,0.0,1.0,4.5,0,20
10,0.0,1.0,5.0,0,20
11,0.0,1.0,5.5,0,20
12,0.0,1.0,6.0,0,20
13,0.0,1.0,6.5,0,20
14,0.0,1.0,7.0,0,20
15,0.0,1.0,7.5,0,20
16,0.0,1.0,8.0,0,20
17,0.0,1.0,0.0,25,20
18,0.896,0.14721962928390453,0.5,25,20
19,1.0,0.0,1.0,25,20
20,1.0,0.011868249099879984,1.5,25,20
21,0.99,0.15282037605014,2.0,25,20
22,0.924,0.3731164155220696,2.5,25,20
23,0.764,0.5598079743965862,3.0,25,20
24,0.582,0.6842245632751034,3.5,25,20
25,0.45,0.7675690092012268,4.0,25,20
26,0.36,0.8239765302040272,4.5,25,20
27,0.284,0.8634484597946392,5.0,25,20
28,0.226,0.8927857047606348,5.5,25,20
29,0.18,0.9121216162154954,6.0,25,20
30,0.14,0.9306574209894652,6.5,25,20
31,0.096,0.9414588611814909,7.0,25,20
32,0.074,0.9509267902386985,7.5,25,20
33,0.054,0.9574609947993066,8.0,25,20
34,0.0,1.0,0.0,50,20
35,0.974,0.14775303373783172,0.5,50,20
36,1.0,0.0,1.0,50,20
37,1.0,0.012801706894252567,1.5,50,20
38,1.0,0.1598879850646753,2.0,50,20
39,1.0,0.3889851980264035,2.5,50,20
40,0.998,0.5727430324043206,3.0,50,20
41,0.964,0.6940925456727564,3.5,50,20
42,0.868,0.77076943592479,4.0,50,20
43,0.748,0.8273103080410722,4.5,50,20
44,0.62,0.868915855447393,5.0,50,20
45,0.498,0.8951860248033071,5.5,50,20
46,0.41,0.9162555007334311,6.0,50,20
47,0.346,0.9318575810108014,6.5,50,20
48,0.304,0.9441258834511268,7.0,50,20
49,0.258,0.9534604613948526,7.5,50,20
50,0.21,0.9606614215228697,8.0,50,20
51,0.0,1.0,0.0,75,20
52,0.994,0.15748766502200293,0.5,75,20
53,1.0,0.0005334044539271903,1.0,75,20
54,1.0,0.016668889185224696,1.5,75,20
55,1.0,0.16828910521402854,2.0,75,20
56,1.0,0.39165222029603947,2.5,75,20
57,1.0,0.5771436191492199,3.0,75,20
58,0.994,0.7004933991198826,3.5,75,20
59,0.958,0.7835711428190425,4.0,75,20
60,0.918,0.8389118549139886,4.5,75,20
61,0.882,0.8757167622349646,5.0,75,20
62,0.826,0.9022536338178424,5.5,75,20
63,0.768,0.919589278570476,6.0,75,20
64,0.686,0.9342579010534738,6.5,75,20
65,0.612,0.943992532337645,7.0,75,20
66,0.548,0.9533271102813708,7.5,75,20
67,0.482,0.9629283904520602,8.0,75,20
68,0.0,1.0,0.0,100,20
69,0.99,0.1641552206960928,0.5,100,20
70,1.0,0.0005334044539271903,1.0,100,20
71,1.0,0.02920389385251367,1.5,100,20
72,1.0,0.1930924123216429,2.0,100,20
73,1.0,0.41552206960928123,2.5,100,20
74,1.0,0.5892785704760635,3.0,100,20
75,1.0,0.7068942525670089,3.5,100,20
76,0.998,0.7863715162021603,4.0,100,20
77,0.99,0.8393119082544339,4.5,100,20
78,0.982,0.8761168155754101,5.0,100,20
79,0.946,0.9001200160021336,5.5,100,20
80,0.922,0.9193225763435124,6.0,100,20
81,0.888,0.9319909321242832,6.5,100,20
82,0.848,0.9442592345646086,7.0,100,20
83,0.802,0.9537271636218162,7.5,100,20
84,0.756,0.9605280704093879,8.0,100,20
85,0.0,1.0,0.0,125,20
86,0.994,0.17749033204427256,0.5,125,20
87,1.0,0.0029337244965995466,1.0,125,20
88,1.0,0.05307374316575544,1.5,125,20
89,1.0,0.22803040405387384,2.0,125,20
90,1.0,0.4240565408721163,2.5,125,20
91,1.0,0.5920789438591813,3.0,125,20
92,1.0,0.6996932924389919,3.5,125,20
93,1.0,0.7777036938258435,4.0,125,20
94,0.994,0.8303773836511534,4.5,125,20
95,0.992,0.8697159621282837,5.0,125,20
96,0.98,0.8943859181224163,5.5,125,20
97,0.96,0.913721829577277,6.0,125,20
98,0.93,0.9306574209894652,6.5,125,20
99,0.908,0.9410588078410455,7.0,125,20
100,0.886,0.9509267902386985,7.5,125,20
101,0.838,0.9578610481397519,8.0,125,20
102,0.0,1.0,0.0,150,20
103,0.978,0.175890118682491,0.5,150,20
104,1.0,0.002800373383117749,1.0,150,20
105,1.0,0.05787438325110015,1.5,150,20
106,1.0,0.2461661554873983,2.0,150,20
107,1.0,0.44299239898653153,2.5,150,20
108,1.0,0.6058141085478064,3.0,150,20
109,1.0,0.7183624483264436,3.5,150,20
110,1.0,0.7915722096279504,4.0,150,20
111,0.994,0.8394452593679157,4.5,150,20
112,0.988,0.8786504867315642,5.0,150,20
113,0.982,0.905187358314442,5.5,150,20
114,0.974,0.9209227897052941,6.0,150,20
115,0.96,0.9363915188691826,6.5,150,20
116,0.948,0.9470596079477264,7.0,150,20
117,0.91,0.9563941858914522,7.5,150,20
118,0.882,0.9639951993599146,8.0,150,20
119,0.0,1.0,0.0,0,40
120,0.0,1.0,0.5,0,40
121,0.0,1.0,1.0,0,40
122,0.0,1.0,1.5,0,40
123,0.0,1.0,2.0,0,40
124,0.0,1.0,2.5,0,40
125,0.0,1.0,3.0,0,40
126,0.0,1.0,3.5,0,40
127,0.0,1.0,4.0,0,40
128,0.0,1.0,4.5,0,40
129,0.0,1.0,5.0,0,40
130,0.0,1.0,5.5,0,40
131,0.0,1.0,6.0,0,40
132,0.0,1.0,6.5,0,40
133,0.0,1.0,7.0,0,40
134,0.0,1.0,7.5,0,40
135,0.0,1.0,8.0,0,40
136,0.0,1.0,0.0,25,40
137,0.582,0.792505667422323,0.5,25,40
138,1.0,0.00013335111348179759,1.0,25,40
139,1.0,0.2576343512468329,1.5,25,40
140,0.95,0.795172689691959,2.0,25,40
141,0.486,0.9426590212028271,2.5,25,40
142,0.258,0.9794639285238032,3.0,25,40
143,0.152,0.9905320709427924,3.5,25,40
144,0.072,0.9962661688225096,4.0,25,40
145,0.04,0.9975996799573277,4.5,25,40
146,0.02,0.9989331910921456,5.0,25,40
147,0.012,0.999333244432591,5.5,25,40
148,0.006,0.9994665955460728,6.0,25,40
149,0.004,0.9994665955460728,6.5,25,40
150,0.002,0.9995999466595547,7.0,25,40
151,0.002,0.9997332977730364,7.5,25,40
152,0.0,0.9998666488865182,8.0,25,40
153,0.0,1.0,0.0,50,40
154,0.94,0.548073076410188,0.5,50,40
155,1.0,0.000933457794372583,1.0,50,40
156,1.0,0.1260168022402987,1.5,50,40
157,1.0,0.5628750500066676,2.0,50,40
158,1.0,0.8150420056007468,2.5,50,40
159,0.972,0.9181224163221763,3.0,50,40
160,0.844,0.9577276970262701,3.5,50,40
161,0.584,0.9761301506867582,4.0,50,40
162,0.404,0.9866648886518202,4.5,50,40
163,0.282,0.9923989865315376,5.0,50,40
164,0.212,0.9947993065742099,5.5,50,40
165,0.16,0.9967995732764369,6.0,50,40
166,0.122,0.997999733297773,6.5,50,40
167,0.082,0.9986664888651821,7.0,50,40
168,0.058,0.9990665422056274,7.5,50,40
169,0.04,0.9991998933191092,8.0,50,40
170,0.0,1.0,0.0,75,40
171,0.948,0.5607414321909588,0.5,75,40
172,1.0,0.004533937858381117,1.0,75,40
173,1.0,0.1658887851713562,1.5,75,40
174,1.0,0.5992799039871983,2.0,75,40
175,1.0,0.8322442992398986,2.5,75,40
176,0.978,0.9263901853580477,3.0,75,40
177,0.93,0.9595946126150153,3.5,75,40
178,0.868,0.9781304173889852,4.0,75,40
179,0.806,0.9886651553540472,4.5,75,40
180,0.734,0.9926656887585011,5.0,75,40
181,0.63,0.9949326576876917,5.5,75,40
182,0.498,0.9970662755034004,6.0,75,40
183,0.406,0.9982664355247366,6.5,75,40
184,0.334,0.9987998399786638,7.0,75,40
185,0.282,0.9990665422056274,7.5,75,40
186,0.218,0.9991998933191092,8.0,75,40
187,0.0,1.0,0.0,100,40
188,0.96,0.5652753700493399,0.5,100,40
189,1.0,0.010934791305507402,1.0,100,40
190,1.0,0.208827843712495,1.5,100,40
191,1.0,0.6298173089745299,2.0,100,40
192,1.0,0.8391785571409521,2.5,100,40
193,1.0,0.9258567809041206,3.0,100,40
194,0.998,0.9634617949059875,3.5,100,40
195,0.972,0.9790638751833578,4.0,100,40
196,0.934,0.9869315908787838,4.5,100,40
197,0.884,0.9919989331910921,5.0,100,40
198,0.836,0.9951993599146552,5.5,100,40
199,0.786,0.9965328710494733,6.0,100,40
200,0.734,0.9974663288438459,6.5,100,40
201,0.69,0.9983997866382184,7.0,100,40
202,0.63,0.9987998399786638,7.5,100,40
203,0.578,0.9990665422056274,8.0,100,40
204,0.0,1.0,0.0,125,40
205,0.98,0.5679423923189758,0.5,125,40
206,1.0,0.02093612481664222,1.0,125,40
207,1.0,0.2637685024669956,1.5,125,40
208,1.0,0.6339511934924656,2.0,125,40
209,1.0,0.8327777036938259,2.5,125,40
210,1.0,0.9239898653153754,3.0,125,40
211,1.0,0.9633284437925057,3.5,125,40
212,0.996,0.980264035204694,4.0,125,40
213,0.982,0.9878650486731564,4.5,125,40
214,0.948,0.9919989331910921,5.0,125,40
215,0.92,0.9955994132551007,5.5,125,40
216,0.868,0.9966662221629551,6.0,125,40
217,0.812,0.9974663288438459,6.5,125,40
218,0.78,0.9983997866382184,7.0,125,40
219,0.742,0.9986664888651821,7.5,125,40
220,0.686,0.9990665422056274,8.0,125,40
221,0.0,1.0,0.0,150,40
222,0.968,0.5504733964528604,0.5,150,40
223,1.0,0.02800373383117749,1.0,150,40
224,1.0,0.2911054807307641,1.5,150,40
225,1.0,0.6523536471529537,2.0,150,40
226,1.0,0.8502466995599414,2.5,150,40
227,1.0,0.9319909321242832,3.0,150,40
228,1.0,0.9649286571542872,3.5,150,40
229,0.996,0.9814641952260301,4.0,150,40
230,0.984,0.9895986131484198,4.5,150,40
231,0.96,0.9931990932124283,5.0,150,40
232,0.934,0.9963995199359915,5.5,150,40
233,0.908,0.9974663288438459,6.0,150,40
234,0.86,0.9983997866382184,6.5,150,40
235,0.802,0.9989331910921456,7.0,150,40
236,0.762,0.9990665422056274,7.5,150,40
237,0.712,0.9991998933191092,8.0,150,40
238,0.0,1.0,0.0,0,60
239,0.0,1.0,0.5,0,60
240,0.0,1.0,1.0,0,60
241,0.0,1.0,1.5,0,60
242,0.0,1.0,2.0,0,60
243,0.0,1.0,2.5,0,60
244,0.0,1.0,3.0,0,60
245,0.0,1.0,3.5,0,60
246,0.0,1.0,4.0,0,60
247,0.0,1.0,4.5,0,60
248,0.0,1.0,5.0,0,60
249,0.0,1.0,5.5,0,60
250,0.0,1.0,6.0,0,60
251,0.0,1.0,6.5,0,60
252,0.0,1.0,7.0,0,60
253,0.0,1.0,7.5,0,60
254,0.0,1.0,8.0,0,60
255,0.0,1.0,0.0,25,60
256,0.248,0.9827977063608481,0.5,25,60
257,1.0,0.0006667555674089878,1.0,25,60
258,1.0,0.7311641552206961,1.5,25,60
259,0.584,0.9843979197226297,2.0,25,60
260,0.122,0.9987998399786638,2.5,25,60
261,0.01,0.9997332977730364,3.0,25,60
262,0.002,0.9998666488865182,3.5,25,60
263,0.0,0.9998666488865182,4.0,25,60
264,0.0,0.9998666488865182,4.5,25,60
265,0.0,0.9998666488865182,5.0,25,60
266,0.0,0.9998666488865182,5.5,25,60
267,0.0,0.9998666488865182,6.0,25,60
268,0.0,0.9998666488865182,6.5,25,60
269,0.0,0.9998666488865182,7.0,25,60
270,0.0,0.9998666488865182,7.5,25,60
271,0.0,0.9998666488865182,8.0,25,60
272,0.0,1.0,0.0,50,60
273,0.802,0.8541138818509134,0.5,50,60
274,1.0,0.004133884517935725,1.0,50,60
275,1.0,0.39498599813308444,1.5,50,60
276,1.0,0.8751833577810375,2.0,50,60
277,0.962,0.9705294039205228,2.5,50,60
278,0.846,0.9922656354180558,3.0,50,60
279,0.554,0.9977330310708095,3.5,50,60
280,0.29,0.9991998933191092,4.0,50,60
281,0.126,0.9997332977730364,4.5,50,60
282,0.044,0.9998666488865182,5.0,50,60
283,0.022,0.9998666488865182,5.5,50,60
284,0.008,0.9998666488865182,6.0,50,60
285,0.002,0.9998666488865182,6.5,50,60
286,0.002,0.9998666488865182,7.0,50,60
287,0.0,0.9998666488865182,7.5,50,60
288,0.0,0.9998666488865182,8.0,50,60
289,0.0,1.0,0.0,75,60
290,0.89,0.7890385384717963,0.5,75,60
291,1.0,0.012935058007734365,1.0,75,60
292,1.0,0.35044672623016404,1.5,75,60
293,1.0,0.824109881317509,2.0,75,60
